datetime,open,high,low,close,volume
2026-07-05 03:35:00,185.0,185.22,184.92,185.15,45901.9
2026-07-05 03:40:00,185.15,185.18,185.0,185.13,27713.11
2026-07-05 03:45:00,185.13,185.4,184.67,184.84,2624.97
2026-07-05 03:50:00,184.84,184.99,184.83,184.89,70220.76
2026-07-05 03:55:00,184.89,185.32,184.79,185.26,5499.0
2026-07-05 04:00:00,185.26,185.78,185.21,185.57,3816.19
2026-07-05 04:05:00,185.57,185.62,185.35,185.38,25523.81
2026-07-05 04:10:00,185.38,185.76,185.36,185.7,5696.25
2026-07-05 04:15:00,185.7,185.91,185.43,185.9,74145.74
2026-07-05 04:20:00,185.9,186.02,185.83,185.85,115573.55
2026-07-05 04:25:00,185.85,185.94,185.8,185.85,42137.29
2026-07-05 04:30:00,185.85,186.08,185.37,185.66,17933.87
2026-07-05 04:35:00,185.66,185.69,185.4,185.57,39077.07
2026-07-05 04:40:00,185.57,186.15,185.5,186.13,6731.22
2026-07-05 04:45:00,186.13,186.28,185.69,185.85,63891.44
2026-07-05 04:50:00,185.85,186.42,185.6,186.3,12580.4
2026-07-05 04:55:00,186.3,186.75,186.04,186.58,72801.93
2026-07-05 05:00:00,186.58,186.69,186.29,186.3,40804.95
2026-07-05 05:05:00,186.3,186.43,186.2,186.21,19157.6
2026-07-05 05:10:00,186.21,186.42,186.19,186.32,45060.09
2026-07-05 05:15:00,186.32,186.37,186.13,186.33,246771.83
2026-07-05 05:20:00,186.33,186.41,185.79,185.95,21057.26
2026-07-05 05:25:00,185.95,186.11,185.57,185.7,39398.04
2026-07-05 05:30:00,185.7,185.83,185.48,185.54,15501.78
2026-07-05 05:35:00,185.54,185.9,185.47,185.85,148287.83
2026-07-05 05:40:00,185.85,185.87,185.55,185.59,82370.87
2026-07-05 05:45:00,185.59,186.02,185.45,185.59,21911.0
2026-07-05 05:50:00,185.59,185.67,184.99,185.11,51007.78
2026-07-05 05:55:00,185.11,185.25,185.01,185.09,187.5
2026-07-05 06:00:00,185.09,185.13,184.92,185.06,23071.44
2026-07-05 06:05:00,185.06,185.58,185.0,185.34,91.34
2026-07-05 06:10:00,185.34,185.6,185.32,185.51,36445.44
2026-07-05 06:15:00,185.51,185.72,185.48,185.59,7154.33
2026-07-05 06:20:00,185.59,185.75,185.46,185.55,28580.25
2026-07-05 06:25:00,185.55,185.78,185.51,185.7,60175.42
2026-07-05 06:30:00,185.7,185.85,185.69,185.82,34967.61
2026-07-05 06:35:00,185.82,185.94,185.5,185.68,92688.62
2026-07-05 06:40:00,185.68,185.76,185.35,185.56,35327.44
2026-07-05 06:45:00,185.56,186.16,185.29,186.0,103783.78
2026-07-05 06:50:00,186.0,186.13,185.76,185.9,71891.3
2026-07-05 06:55:00,185.9,186.06,185.66,185.81,3924.08
2026-07-05 07:00:00,185.81,185.89,185.62,185.81,31961.3
2026-07-05 07:05:00,185.81,185.95,185.8,185.94,23092.89
2026-07-05 07:10:00,185.94,186.1,185.67,185.76,1816.67
2026-07-05 07:15:00,185.76,185.85,185.47,185.69,68916.03
2026-07-05 07:20:00,185.69,185.97,185.29,185.5,223803.22
2026-07-05 07:25:00,185.5,185.64,184.85,184.88,61612.67
2026-07-05 07:30:00,184.88,185.07,184.79,184.87,24055.56
2026-07-05 07:35:00,184.87,184.95,184.68,184.73,4794.84
2026-07-05 07:40:00,184.73,185.01,184.54,184.61,13496.84
2026-07-05 07:45:00,184.61,185.39,184.52,185.23,55607.29
2026-07-05 07:50:00,185.23,185.62,185.05,185.48,164550.41
2026-07-05 07:55:00,185.48,185.63,185.48,185.58,36189.57
2026-07-05 08:00:00,185.58,185.87,185.41,185.82,15484.53
2026-07-05 08:05:00,185.82,185.86,185.29,185.31,75749.85
2026-07-05 08:10:00,185.31,185.38,185.17,185.24,54180.0
2026-07-05 08:15:00,185.24,185.49,185.1,185.39,4086.87
2026-07-05 08:20:00,185.39,185.76,185.29,185.65,150116.94
2026-07-05 08:25:00,185.65,186.01,185.55,185.91,16560.61
2026-07-05 08:30:00,185.91,186.35,185.88,186.15,44836.9
2026-07-05 08:35:00,186.15,186.47,186.15,186.42,68329.71
2026-07-05 08:40:00,186.42,186.46,185.95,186.2,10.35
2026-07-05 08:45:00,186.2,186.4,186.08,186.33,75388.9
2026-07-05 08:50:00,186.33,186.41,186.12,186.4,122000.54
2026-07-05 08:55:00,186.4,186.45,185.82,185.87,113590.24
2026-07-05 09:00:00,185.87,185.9,185.48,185.53,43805.16
2026-07-05 09:05:00,185.53,185.62,185.49,185.53,67602.94
2026-07-05 09:10:00,185.53,185.87,185.46,185.78,31905.48
2026-07-05 09:15:00,185.78,185.88,185.32,185.46,4719.23
2026-07-05 09:20:00,185.46,185.72,185.42,185.68,58260.83
2026-07-05 09:25:00,185.68,185.77,185.64,185.71,45278.57
2026-07-05 09:30:00,185.71,185.98,185.67,185.89,54986.31
2026-07-05 09:35:00,185.89,186.37,185.78,186.26,8652.81
2026-07-05 09:40:00,186.26,186.47,186.08,186.15,123667.29
2026-07-05 09:45:00,186.15,186.21,186.13,186.19,75968.23
2026-07-05 09:50:00,186.19,186.4,186.1,186.25,35154.14
2026-07-05 09:55:00,186.25,186.65,185.93,186.0,206231.87
2026-07-05 10:00:00,186.0,186.04,185.8,185.96,31797.1
2026-07-05 10:05:00,185.96,185.99,185.78,185.79,18292.3
2026-07-05 10:10:00,185.79,186.33,185.7,186.15,67090.82
2026-07-05 10:15:00,186.15,186.24,185.94,186.22,45839.89
2026-07-05 10:20:00,186.22,186.28,185.99,186.14,54245.23
2026-07-05 10:25:00,186.14,186.18,186.0,186.07,122197.62
2026-07-05 10:30:00,186.07,186.32,185.76,185.84,15394.22
2026-07-05 10:35:00,185.84,185.85,185.73,185.77,59497.86
2026-07-05 10:40:00,185.77,186.16,185.64,185.99,20717.37
2026-07-05 10:45:00,185.99,186.49,185.94,186.33,14873.02
2026-07-05 10:50:00,186.33,186.38,185.91,186.06,97067.5
2026-07-05 10:55:00,186.06,186.38,185.9,186.29,24238.5
2026-07-05 11:00:00,186.29,186.56,186.22,186.45,100098.71
2026-07-05 11:05:00,186.45,186.84,186.18,186.79,7602.6
2026-07-05 11:10:00,186.79,187.08,186.23,186.31,662624.83
2026-07-05 11:15:00,186.31,186.82,185.68,185.82,131379.08
2026-07-05 11:20:00,185.82,185.92,185.45,185.68,23689.87
2026-07-05 11:25:00,185.68,186.09,185.46,185.81,19054.84
2026-07-05 11:30:00,185.81,185.85,185.33,185.33,34824.88
2026-07-05 11:35:00,185.33,185.52,185.22,185.38,17746.92
2026-07-05 11:40:00,185.38,185.42,185.29,185.32,360066.11
2026-07-05 11:45:00,185.32,185.64,185.18,185.58,38462.15
2026-07-05 11:50:00,185.58,185.93,185.43,185.87,69711.42
2026-07-05 11:55:00,185.87,186.12,185.39,185.53,87230.34
2026-07-05 12:00:00,185.53,185.72,185.42,185.51,89676.57
2026-07-05 12:05:00,185.51,185.59,185.19,185.4,21223.71
2026-07-05 12:10:00,185.4,185.51,185.34,185.36,3439.83
2026-07-05 12:15:00,185.36,185.42,185.08,185.26,5587.94
2026-07-05 12:20:00,185.26,185.28,185.04,185.14,69629.18
2026-07-05 12:25:00,185.14,185.38,184.95,185.02,165073.52
2026-07-05 12:30:00,185.02,185.11,184.69,184.79,74793.74
2026-07-05 12:35:00,184.79,185.15,184.64,184.67,119812.97
2026-07-05 12:40:00,184.67,185.2,184.64,184.76,29822.01
2026-07-05 12:45:00,184.76,185.17,184.12,185.06,173095.88
2026-07-05 12:50:00,185.06,185.07,184.82,184.97,52663.67
2026-07-05 12:55:00,184.97,185.25,184.43,184.61,7739.3
2026-07-05 13:00:00,184.61,184.92,184.4,184.78,118769.81
2026-07-05 13:05:00,184.78,185.0,184.78,184.81,55819.18
2026-07-05 13:10:00,184.81,185.2,184.08,185.13,38101.03
2026-07-05 13:15:00,185.13,185.2,184.97,185.02,38128.08
2026-07-05 13:20:00,185.02,185.07,185.0,185.06,3668.28
2026-07-05 13:25:00,185.06,185.22,184.84,185.16,57921.15
2026-07-05 13:30:00,185.16,185.28,184.92,185.08,34953.94
2026-07-05 13:35:00,185.08,185.23,184.78,184.92,7766.61
2026-07-05 13:40:00,184.92,185.49,184.19,185.42,127156.33
2026-07-05 13:45:00,185.42,185.53,185.22,185.32,39122.17
2026-07-05 13:50:00,185.32,185.38,185.24,185.31,18109.39
2026-07-05 13:55:00,185.31,185.33,184.87,185.02,33477.98
2026-07-05 14:00:00,185.02,185.3,184.85,185.13,12241.84
2026-07-05 14:05:00,185.13,185.24,184.9,185.1,6979.8
2026-07-05 14:10:00,185.1,185.22,184.99,185.04,24278.7
2026-07-05 14:15:00,185.04,185.11,184.9,184.96,7552.06
2026-07-05 14:20:00,184.96,185.1,184.84,184.93,20323.85
2026-07-05 14:25:00,184.93,185.27,184.4,185.15,156262.39
2026-07-05 14:30:00,185.15,185.34,184.99,185.06,41707.3
2026-07-05 14:35:00,185.06,185.38,184.94,185.24,34008.29
2026-07-05 14:40:00,185.24,185.35,185.13,185.35,29356.47
2026-07-05 14:45:00,185.35,185.45,185.18,185.41,13722.34
2026-07-05 14:50:00,185.41,185.66,185.16,185.3,22607.3
2026-07-05 14:55:00,185.3,185.61,185.08,185.47,12292.97
2026-07-05 15:00:00,185.47,185.6,185.46,185.58,103337.36
2026-07-05 15:05:00,185.58,185.82,185.57,185.72,35789.7
2026-07-05 15:10:00,185.72,185.8,185.27,185.39,39963.98
2026-07-05 15:15:00,185.39,185.56,185.37,185.55,22546.96
2026-07-05 15:20:00,185.55,185.7,185.12,185.34,8590.99
2026-07-05 15:25:00,185.34,185.42,185.23,185.28,131566.18
2026-07-05 15:30:00,185.28,185.42,185.21,185.23,65728.22
2026-07-05 15:35:00,185.23,185.5,184.97,185.43,4187.62
2026-07-05 15:40:00,185.43,185.49,185.39,185.42,31702.27
2026-07-05 15:45:00,185.42,185.65,185.05,185.07,32498.54
2026-07-05 15:50:00,185.07,185.18,184.95,184.97,51499.73
2026-07-05 15:55:00,184.97,185.24,184.93,185.01,127678.82
2026-07-05 16:00:00,185.01,185.26,185.0,185.24,45655.45
2026-07-05 16:05:00,185.24,185.38,185.19,185.29,87367.58
2026-07-05 16:10:00,185.29,185.44,185.18,185.26,27528.53
2026-07-05 16:15:00,185.26,185.43,184.64,184.78,63927.99
2026-07-05 16:20:00,184.78,184.97,184.66,184.87,112818.35
2026-07-05 16:25:00,184.87,185.59,184.09,185.41,195072.29
2026-07-05 16:30:00,185.41,185.52,184.95,185.09,20035.11
2026-07-05 16:35:00,185.09,185.13,184.92,185.03,80258.63
2026-07-05 16:40:00,185.03,185.19,184.74,184.91,43646.87
2026-07-05 16:45:00,184.91,185.1,184.45,184.57,959.07
2026-07-05 16:50:00,184.57,185.14,183.81,184.96,119332.07
2026-07-05 16:55:00,184.96,185.01,184.9,185.0,8276.15
2026-07-05 17:00:00,185.0,185.06,184.73,184.96,21937.42
2026-07-05 17:05:00,184.96,185.3,184.31,185.12,61726.43
2026-07-05 17:10:00,185.12,185.17,184.86,184.96,23826.2
2026-07-05 17:15:00,184.96,185.22,184.41,185.12,85591.7
2026-07-05 17:20:00,185.12,185.21,184.87,185.15,74554.83
2026-07-05 17:25:00,185.15,185.23,184.93,185.03,70885.11
2026-07-05 17:30:00,185.03,185.1,184.78,184.87,99111.99
2026-07-05 17:35:00,184.87,185.51,184.07,185.38,89031.62
2026-07-05 17:40:00,185.38,185.43,185.28,185.31,32730.44
2026-07-05 17:45:00,185.31,185.4,184.95,185.11,120395.24
2026-07-05 17:50:00,185.11,185.23,184.74,184.81,48032.88
2026-07-05 17:55:00,184.81,185.17,184.42,185.05,123222.5
2026-07-05 18:00:00,185.05,185.08,184.8,185.04,19561.06
2026-07-05 18:05:00,185.04,185.24,184.93,185.12,70022.14
2026-07-05 18:10:00,185.12,185.33,184.77,184.92,66998.32
2026-07-05 18:15:00,184.92,185.22,184.57,185.15,318287.62
2026-07-05 18:20:00,185.15,185.26,185.0,185.11,182916.32
2026-07-05 18:25:00,185.11,185.12,184.86,185.09,8904.49
2026-07-05 18:30:00,185.09,185.1,184.81,184.86,13287.67
2026-07-05 18:35:00,184.86,185.34,184.81,185.16,3501.15
2026-07-05 18:40:00,185.16,185.17,184.76,184.77,741.99
2026-07-05 18:45:00,184.77,185.46,184.1,185.31,445680.0
2026-07-05 18:50:00,185.31,185.33,185.14,185.32,9190.98
2026-07-05 18:55:00,185.32,185.55,185.22,185.47,90703.18
2026-07-05 19:00:00,185.47,185.56,185.38,185.42,102955.01
2026-07-05 19:05:00,185.42,185.45,185.2,185.23,38870.19
2026-07-05 19:10:00,185.23,185.84,185.19,185.72,994.79
2026-07-05 19:15:00,185.72,186.51,185.25,185.34,35924.8
2026-07-05 19:20:00,185.34,185.47,185.16,185.22,3249.49
2026-07-05 19:25:00,185.22,185.51,185.18,185.33,171021.47
2026-07-05 19:30:00,185.33,185.51,184.93,185.1,153453.77
2026-07-05 19:35:00,185.1,185.5,185.04,185.22,66315.02
2026-07-05 19:40:00,185.22,185.29,185.1,185.25,59518.81
2026-07-05 19:45:00,185.25,185.59,185.16,185.45,24213.89
2026-07-05 19:50:00,185.45,185.72,185.2,185.67,10881.93
2026-07-05 19:55:00,185.67,185.8,185.51,185.72,53382.07
2026-07-05 20:00:00,185.72,186.05,185.45,185.55,152311.87
2026-07-05 20:05:00,185.55,185.57,185.1,185.23,20025.07
2026-07-05 20:10:00,185.23,185.36,185.06,185.14,159211.59
2026-07-05 20:15:00,185.14,185.4,185.05,185.27,24979.2
2026-07-05 20:20:00,185.27,185.31,185.25,185.28,72160.54
2026-07-05 20:25:00,185.28,185.35,184.76,185.08,90933.38
2026-07-05 20:30:00,185.08,185.45,184.97,185.37,28478.75
2026-07-05 20:35:00,185.37,185.58,185.17,185.2,405.08
2026-07-05 20:40:00,185.2,185.45,185.11,185.39,74180.73
2026-07-05 20:45:00,185.39,186.18,185.07,185.13,13339.51
2026-07-05 20:50:00,185.13,185.18,184.87,185.0,66705.86
2026-07-05 20:55:00,185.0,185.04,184.41,184.65,30315.09
2026-07-05 21:00:00,184.65,184.85,184.59,184.8,9542.4
2026-07-05 21:05:00,184.8,185.18,184.19,185.01,397909.73
2026-07-05 21:10:00,185.01,185.26,184.42,184.66,52236.54
2026-07-05 21:15:00,184.66,185.04,184.19,184.95,98286.39
2026-07-05 21:20:00,184.95,185.27,184.82,185.02,74630.89
