datetime,open,high,low,close,volume
2026-07-05 03:30:00,4.18,4.1826,4.1693,4.1737,68474.89
2026-07-05 03:35:00,4.1737,4.1831,4.1699,4.1792,95237.34
2026-07-05 03:40:00,4.1792,4.1805,4.1731,4.1745,76475.59
2026-07-05 03:45:00,4.1745,4.1796,4.166,4.1688,65637.04
2026-07-05 03:50:00,4.1688,4.1735,4.1624,4.1683,22980.53
2026-07-05 03:55:00,4.1683,4.1715,4.1671,4.1711,6371.64
2026-07-05 04:00:00,4.1711,4.1725,4.1681,4.1683,71984.93
2026-07-05 04:05:00,4.1683,4.1715,4.1625,4.1655,89918.59
2026-07-05 04:10:00,4.1655,4.1699,4.1607,4.163,787.53
2026-07-05 04:15:00,4.163,4.1665,4.1565,4.1573,80770.45
2026-07-05 04:20:00,4.1573,4.1617,4.1504,4.1505,77291.99
2026-07-05 04:25:00,4.1505,4.1532,4.1492,4.1517,22734.47
2026-07-05 04:30:00,4.1517,4.1599,4.1516,4.1566,15986.27
2026-07-05 04:35:00,4.1566,4.1584,4.1546,4.1574,11183.11
2026-07-05 04:40:00,4.1574,4.1578,4.152,4.1528,13974.22
2026-07-05 04:45:00,4.1528,4.1687,4.1479,4.1641,136683.78
2026-07-05 04:50:00,4.1641,4.1656,4.1628,4.1646,76345.01
2026-07-05 04:55:00,4.1646,4.1744,4.1633,4.1742,159375.62
2026-07-05 05:00:00,4.1742,4.1754,4.1702,4.1754,41010.84
2026-07-05 05:05:00,4.1754,4.1779,4.1733,4.1747,93378.72
2026-07-05 05:10:00,4.1747,4.1784,4.1691,4.1759,84877.08
2026-07-05 05:15:00,4.1759,4.1766,4.1752,4.1762,18056.63
2026-07-05 05:20:00,4.1762,4.1774,4.1726,4.1748,33103.0
2026-07-05 05:25:00,4.1748,4.1775,4.1738,4.1752,11193.46
2026-07-05 05:30:00,4.1752,4.1827,4.1728,4.1794,30150.73
2026-07-05 05:35:00,4.1794,4.1818,4.1749,4.1767,74384.86
2026-07-05 05:40:00,4.1767,4.1789,4.1713,4.1755,87165.3
2026-07-05 05:45:00,4.1755,4.1829,4.1732,4.1794,167780.67
2026-07-05 05:50:00,4.1794,4.1798,4.1778,4.1779,101116.33
2026-07-05 05:55:00,4.1779,4.1817,4.1765,4.179,5062.21
2026-07-05 06:00:00,4.179,4.1889,4.1758,4.1853,16842.84
2026-07-05 06:05:00,4.1853,4.1878,4.1827,4.1865,48523.8
2026-07-05 06:10:00,4.1865,4.1878,4.185,4.1859,3978.24
2026-07-05 06:15:00,4.1859,4.1924,4.1827,4.1906,23196.96
2026-07-05 06:20:00,4.1906,4.1914,4.181,4.1835,123401.72
2026-07-05 06:25:00,4.1835,4.1863,4.1813,4.1827,126024.65
2026-07-05 06:30:00,4.1827,4.186,4.1742,4.1746,69645.93
2026-07-05 06:35:00,4.1746,4.1798,4.1698,4.1786,3081.36
2026-07-05 06:40:00,4.1786,4.1804,4.1771,4.1786,11941.84
2026-07-05 06:45:00,4.1786,4.1845,4.178,4.1842,9323.21
