datetime,open,high,low,close,volume
2026-09-02 08:45:00,0.856,0.859,0.854,0.856,49655.0
2026-09-02 08:50:00,0.855,0.857,0.854,0.855,57668.04
2026-09-02 08:55:00,0.855,0.856,0.853,0.856,15493.74
2026-09-02 09:00:00,0.857,0.86,0.857,0.859,19980.84
2026-09-02 09:05:00,0.86,0.861,0.858,0.859,7498.51
2026-09-02 09:10:00,0.859,0.859,0.857,0.857,14950.76
2026-09-02 09:15:00,0.856,0.857,0.855,0.856,12514.71
2026-09-02 09:20:00,0.856,0.857,0.852,0.855,58071.0
2026-09-02 09:25:00,0.855,0.856,0.854,0.856,6828.5
2026-09-02 09:30:00,0.855,0.855,0.853,0.854,7400.84
2026-09-02 09:35:00,0.854,0.854,0.849,0.85,49079.31
2026-09-02 09:40:00,0.85,0.851,0.847,0.847,114537.38
2026-09-02 09:45:00,0.848,0.852,0.847,0.852,36356.43
2026-09-02 09:50:00,0.852,0.853,0.85,0.851,11876.47
2026-09-02 09:55:00,0.85,0.851,0.849,0.851,1506.94
2026-09-02 10:00:00,0.851,0.851,0.847,0.848,10370.02
2026-09-02 10:05:00,0.848,0.849,0.845,0.847,81648.5
2026-09-02 10:10:00,0.847,0.847,0.842,0.844,149570.13
2026-09-02 10:15:00,0.844,0.846,0.843,0.846,41065.48
2026-09-02 10:20:00,0.846,0.846,0.845,0.845,10486.84
2026-09-02 10:25:00,0.845,0.846,0.844,0.845,10088.96
2026-09-02 10:30:00,0.845,0.845,0.843,0.844,29913.49
2026-09-02 10:35:00,0.845,0.846,0.844,0.844,23621.33
2026-09-02 10:40:00,0.844,0.845,0.842,0.845,15362.64
2026-09-02 10:45:00,0.845,0.845,0.84,0.84,67256.47
2026-09-02 10:50:00,0.84,0.843,0.838,0.842,126375.91
2026-09-02 10:55:00,0.842,0.845,0.842,0.845,31587.72
2026-09-02 11:00:00,0.844,0.845,0.841,0.841,40122.09
2026-09-02 11:05:00,0.841,0.843,0.84,0.843,24895.47
2026-09-02 11:10:00,0.843,0.843,0.841,0.843,22993.45
2026-09-02 11:15:00,0.843,0.844,0.842,0.842,6008.5
2026-09-02 11:20:00,0.842,0.843,0.841,0.842,6647.0
2026-09-02 11:25:00,0.842,0.844,0.841,0.844,36177.17
2026-09-02 11:30:00,0.843,0.845,0.843,0.845,21342.11
2026-09-02 11:35:00,0.844,0.846,0.844,0.844,36489.8
2026-09-02 11:40:00,0.845,0.845,0.843,0.844,16380.47
2026-09-02 11:45:00,0.843,0.843,0.841,0.842,27124.84
2026-09-02 11:50:00,0.842,0.844,0.842,0.843,16437.09
2026-09-02 11:55:00,0.842,0.845,0.842,0.845,20199.65
2026-09-02 12:00:00,0.845,0.845,0.84,0.84,48392.84
2026-09-02 12:05:00,0.841,0.842,0.84,0.841,20250.01
2026-09-02 12:10:00,0.841,0.843,0.84,0.842,13982.4
2026-09-02 12:15:00,0.843,0.845,0.842,0.843,34400.39
2026-09-02 12:20:00,0.844,0.849,0.843,0.848,45030.67
2026-09-02 12:25:00,0.849,0.849,0.847,0.847,36315.17
2026-09-02 12:30:00,0.847,0.847,0.845,0.846,21756.48
2026-09-02 12:35:00,0.846,0.847,0.845,0.846,14780.46
2026-09-02 12:40:00,0.846,0.847,0.844,0.845,5668.2
2026-09-02 12:45:00,0.845,0.845,0.841,0.842,9226.67
2026-09-02 12:50:00,0.841,0.842,0.84,0.84,34565.96
2026-09-02 12:55:00,0.84,0.841,0.839,0.839,10864.7
2026-09-02 13:00:00,0.84,0.846,0.84,0.845,17565.68
2026-09-02 13:05:00,0.845,0.847,0.843,0.845,34283.55
2026-09-02 13:10:00,0.845,0.845,0.842,0.842,6085.09
2026-09-02 13:15:00,0.842,0.843,0.841,0.842,11435.49
2026-09-02 13:20:00,0.843,0.843,0.841,0.841,3830.63
2026-09-02 13:25:00,0.841,0.842,0.84,0.84,17349.57
2026-09-02 13:30:00,0.841,0.841,0.839,0.84,16755.38
2026-09-02 13:35:00,0.84,0.84,0.838,0.84,74925.7
2026-09-02 13:40:00,0.841,0.853,0.84,0.852,112877.21
2026-09-02 13:45:00,0.853,0.853,0.849,0.85,49681.32
2026-09-02 13:50:00,0.851,0.854,0.851,0.851,144146.06
2026-09-02 13:55:00,0.851,0.851,0.848,0.851,36164.78
2026-09-02 14:00:00,0.851,0.852,0.85,0.85,50156.83
2026-09-02 14:05:00,0.85,0.854,0.85,0.852,14138.17
2026-09-02 14:10:00,0.852,0.854,0.85,0.853,22697.14
2026-09-02 14:15:00,0.852,0.853,0.85,0.853,14191.85
2026-09-02 14:20:00,0.852,0.854,0.851,0.852,11449.03
2026-09-02 14:25:00,0.852,0.853,0.851,0.852,14570.4
2026-09-02 14:30:00,0.852,0.852,0.848,0.851,27991.29
2026-09-02 14:35:00,0.852,0.852,0.849,0.85,17703.73
2026-09-02 14:40:00,0.851,0.853,0.85,0.853,5353.2
2026-09-02 14:45:00,0.853,0.853,0.849,0.85,22124.65
2026-09-02 14:50:00,0.85,0.85,0.847,0.848,36962.14
2026-09-02 14:55:00,0.848,0.85,0.845,0.845,22601.01
2026-09-02 15:00:00,0.846,0.849,0.843,0.846,23611.51
2026-09-02 15:05:00,0.847,0.849,0.843,0.844,23019.99
2026-09-02 15:10:00,0.843,0.843,0.842,0.843,24590.36
2026-09-02 15:15:00,0.843,0.848,0.843,0.847,21637.52
2026-09-02 15:20:00,0.847,0.847,0.843,0.844,16488.59
2026-09-02 15:25:00,0.844,0.847,0.844,0.844,18627.4
2026-09-02 15:30:00,0.844,0.848,0.843,0.848,10139.92
2026-09-02 15:35:00,0.848,0.85,0.847,0.849,16409.39
2026-09-02 15:40:00,0.849,0.853,0.848,0.851,25918.71
2026-09-02 15:45:00,0.851,0.852,0.848,0.849,31182.71
2026-09-02 15:50:00,0.849,0.85,0.847,0.85,34676.93
2026-09-02 15:55:00,0.85,0.851,0.849,0.851,9633.15
2026-09-02 16:00:00,0.851,0.851,0.849,0.849,9010.54
2026-09-02 16:05:00,0.85,0.851,0.848,0.851,28300.42
2026-09-02 16:10:00,0.851,0.853,0.85,0.852,8160.67
2026-09-02 16:15:00,0.852,0.853,0.851,0.853,41504.95
2026-09-02 16:20:00,0.854,0.855,0.853,0.854,106493.63
2026-09-02 16:25:00,0.855,0.856,0.853,0.853,20537.39
2026-09-02 16:30:00,0.853,0.856,0.853,0.855,38943.39
2026-09-02 16:35:00,0.855,0.855,0.853,0.853,26348.85
2026-09-02 16:40:00,0.853,0.853,0.852,0.852,2965.84
2026-09-02 16:45:00,0.852,0.853,0.851,0.853,4673.5
2026-09-02 16:50:00,0.854,0.855,0.853,0.855,25460.93
2026-09-02 16:55:00,0.855,0.856,0.852,0.853,17442.48
2026-09-02 17:00:00,0.854,0.855,0.852,0.852,60435.12
2026-09-02 17:05:00,0.852,0.852,0.85,0.85,47789.3
2026-09-02 17:10:00,0.85,0.852,0.85,0.85,32231.21
2026-09-02 17:15:00,0.851,0.851,0.845,0.847,45917.53
2026-09-02 17:20:00,0.846,0.85,0.846,0.848,9559.36
2026-09-02 17:25:00,0.849,0.85,0.847,0.85,19272.71
2026-09-02 17:30:00,0.85,0.851,0.848,0.851,37290.54
2026-09-02 17:35:00,0.85,0.85,0.848,0.849,8654.08
2026-09-02 17:40:00,0.85,0.851,0.848,0.851,21599.78
2026-09-02 17:45:00,0.851,0.858,0.851,0.856,83599.2
2026-09-02 17:50:00,0.857,0.858,0.855,0.856,25329.93
2026-09-02 17:55:00,0.857,0.858,0.855,0.855,6354.48
2026-09-02 18:00:00,0.855,0.857,0.852,0.853,83847.07
2026-09-02 18:05:00,0.852,0.855,0.852,0.855,23758.11
2026-09-02 18:10:00,0.855,0.858,0.855,0.857,10853.07
2026-09-02 18:15:00,0.857,0.86,0.856,0.857,82334.65
2026-09-02 18:20:00,0.857,0.859,0.857,0.859,25667.33
2026-09-02 18:25:00,0.858,0.859,0.858,0.858,10243.43
2026-09-02 18:30:00,0.858,0.861,0.858,0.861,16903.68
2026-09-02 18:35:00,0.861,0.861,0.858,0.858,8424.74
2026-09-02 18:40:00,0.859,0.861,0.859,0.859,21812.05
2026-09-02 18:45:00,0.859,0.861,0.858,0.86,10056.67
2026-09-02 18:50:00,0.861,0.862,0.859,0.861,24945.74
2026-09-02 18:55:00,0.86,0.861,0.859,0.861,10557.87
2026-09-02 19:00:00,0.86,0.861,0.859,0.86,2528.56
2026-09-02 19:05:00,0.86,0.86,0.859,0.86,15208.79
2026-09-02 19:10:00,0.861,0.862,0.859,0.86,17312.32
2026-09-02 19:15:00,0.861,0.861,0.859,0.86,8965.56
2026-09-02 19:20:00,0.86,0.86,0.859,0.86,8645.74
2026-09-02 19:25:00,0.859,0.859,0.858,0.858,5508.67
2026-09-02 19:30:00,0.857,0.861,0.857,0.86,21954.62
2026-09-02 19:35:00,0.86,0.861,0.859,0.861,17751.68
2026-09-02 19:40:00,0.861,0.861,0.86,0.861,3871.24
2026-09-02 19:45:00,0.861,0.861,0.859,0.859,8221.96
2026-09-02 19:50:00,0.86,0.861,0.86,0.86,6404.25
2026-09-02 19:55:00,0.86,0.861,0.859,0.861,4152.22
2026-09-02 20:00:00,0.861,0.866,0.861,0.866,48594.4
2026-09-02 20:05:00,0.866,0.868,0.864,0.865,15364.78
2026-09-02 20:10:00,0.865,0.866,0.863,0.864,2018.22
2026-09-02 20:15:00,0.863,0.864,0.861,0.862,7004.41
2026-09-02 20:20:00,0.862,0.866,0.862,0.866,15874.45
2026-09-02 20:25:00,0.866,0.866,0.863,0.863,5958.52
2026-09-02 20:30:00,0.863,0.865,0.863,0.863,28951.67
2026-09-02 20:35:00,0.864,0.864,0.862,0.863,19477.57
2026-09-02 20:40:00,0.864,0.864,0.861,0.861,17908.73
2026-09-02 20:45:00,0.861,0.863,0.861,0.862,13997.66
