datetime,open,high,low,close,volume
2026-09-02 12:05:00,0.1506,0.1513,0.1505,0.1511,862379.33
2026-09-02 12:10:00,0.151,0.1517,0.151,0.1515,1283245.19
2026-09-02 12:15:00,0.1515,0.1521,0.1512,0.152,1252973.07
2026-09-02 12:20:00,0.1519,0.1528,0.1517,0.1525,1328078.8
2026-09-02 12:25:00,0.1525,0.153,0.1524,0.1529,2946061.22
2026-09-02 12:30:00,0.1529,0.1529,0.1523,0.1525,725702.61
2026-09-02 12:35:00,0.1525,0.1525,0.1517,0.1521,887385.71
2026-09-02 12:40:00,0.1521,0.1521,0.1512,0.1513,641331.59
2026-09-02 12:45:00,0.1513,0.1513,0.1499,0.1503,1147596.92
2026-09-02 12:50:00,0.1503,0.1503,0.1492,0.1494,1787114.7
2026-09-02 12:55:00,0.1494,0.1494,0.1485,0.149,2256622.15
2026-09-02 13:00:00,0.149,0.1501,0.149,0.15,1305573.99
2026-09-02 13:05:00,0.1501,0.1503,0.1494,0.1495,954854.03
2026-09-02 13:10:00,0.1495,0.1495,0.1491,0.1492,862108.31
2026-09-02 13:15:00,0.1493,0.1499,0.1491,0.1499,788048.49
2026-09-02 13:20:00,0.1498,0.1499,0.1493,0.1497,526964.84
2026-09-02 13:25:00,0.1497,0.1501,0.1493,0.15,959098.52
2026-09-02 13:30:00,0.15,0.1501,0.1496,0.1501,1666010.39
2026-09-02 13:35:00,0.1501,0.1501,0.1493,0.1497,640868.85
2026-09-02 13:40:00,0.1498,0.1529,0.1497,0.1527,1474301.29
2026-09-02 13:45:00,0.1528,0.1533,0.1514,0.1516,2840083.43
2026-09-02 13:50:00,0.1516,0.152,0.1512,0.1514,767608.39
2026-09-02 13:55:00,0.1514,0.1517,0.1507,0.1517,1120755.12
2026-09-02 14:00:00,0.1517,0.1517,0.1508,0.1511,252486.76
2026-09-02 14:05:00,0.1512,0.152,0.151,0.1517,635215.62
2026-09-02 14:10:00,0.1517,0.152,0.1511,0.1515,636281.55
2026-09-02 14:15:00,0.1515,0.1517,0.151,0.1515,408064.54
2026-09-02 14:20:00,0.1515,0.1524,0.1513,0.1518,517737.9
2026-09-02 14:25:00,0.1517,0.1519,0.1513,0.1518,271841.76
2026-09-02 14:30:00,0.1518,0.1518,0.1508,0.1513,531977.8
2026-09-02 14:35:00,0.1513,0.1515,0.1511,0.1513,207923.28
2026-09-02 14:40:00,0.1514,0.1519,0.1508,0.1519,341441.26
2026-09-02 14:45:00,0.152,0.152,0.1511,0.1512,202836.13
2026-09-02 14:50:00,0.1512,0.1513,0.1504,0.1508,930739.32
2026-09-02 14:55:00,0.1508,0.1513,0.1498,0.15,1295069.94
2026-09-02 15:00:00,0.1501,0.1512,0.1493,0.1507,790774.22
2026-09-02 15:05:00,0.1508,0.1512,0.15,0.1502,463019.24
2026-09-02 15:10:00,0.1501,0.1501,0.1496,0.1498,560898.09
2026-09-02 15:15:00,0.1499,0.1508,0.1494,0.1506,542568.92
2026-09-02 15:20:00,0.1506,0.1506,0.1496,0.1499,767128.99
2026-09-02 15:25:00,0.1499,0.1504,0.1497,0.1497,321585.11
2026-09-02 15:30:00,0.1497,0.1506,0.1489,0.1504,852633.73
2026-09-02 15:35:00,0.1505,0.1509,0.1502,0.1502,333932.26
2026-09-02 15:40:00,0.1502,0.151,0.15,0.151,607186.18
2026-09-02 15:45:00,0.1509,0.1509,0.1503,0.1504,550178.74
2026-09-02 15:50:00,0.1505,0.1506,0.1502,0.1505,295337.17
2026-09-02 15:55:00,0.1506,0.1511,0.1504,0.1511,1045785.78
2026-09-02 16:00:00,0.151,0.1514,0.1507,0.1512,381806.08
2026-09-02 16:05:00,0.1513,0.1515,0.1508,0.1511,748195.22
2026-09-02 16:10:00,0.1511,0.1515,0.1511,0.1511,618976.24
2026-09-02 16:15:00,0.1512,0.1514,0.1505,0.151,529413.05
2026-09-02 16:20:00,0.151,0.1514,0.1504,0.1508,729726.33
2026-09-02 16:25:00,0.1507,0.152,0.1507,0.1508,732141.96
2026-09-02 16:30:00,0.1508,0.1508,0.1502,0.1505,780450.83
2026-09-02 16:35:00,0.1504,0.1506,0.15,0.1502,402470.75
2026-09-02 16:40:00,0.1502,0.1502,0.1494,0.1495,335727.9
2026-09-02 16:45:00,0.1495,0.15,0.1495,0.1499,170314.01
2026-09-02 16:50:00,0.1498,0.1499,0.1496,0.1497,263552.37
2026-09-02 16:55:00,0.1498,0.1499,0.149,0.1494,676005.65
2026-09-02 17:00:00,0.1494,0.1499,0.1493,0.1494,336540.33
2026-09-02 17:05:00,0.1494,0.1495,0.1487,0.149,897165.08
2026-09-02 17:10:00,0.1489,0.1496,0.1489,0.1491,874012.83
2026-09-02 17:15:00,0.149,0.1495,0.1473,0.1479,2252422.12
2026-09-02 17:20:00,0.1479,0.1486,0.1477,0.1485,841003.59
2026-09-02 17:25:00,0.1484,0.1484,0.1475,0.148,712681.19
2026-09-02 17:30:00,0.148,0.1485,0.1478,0.1485,731220.28
2026-09-02 17:35:00,0.1484,0.1484,0.1481,0.1481,200759.94
2026-09-02 17:40:00,0.1482,0.1489,0.148,0.1489,336087.32
2026-09-02 17:45:00,0.149,0.15,0.149,0.1497,363562.21
2026-09-02 17:50:00,0.1497,0.1498,0.1492,0.1493,154800.43
2026-09-02 17:55:00,0.1493,0.1502,0.1492,0.15,250397.86
2026-09-02 18:00:00,0.1501,0.1504,0.1498,0.1498,487692.38
2026-09-02 18:05:00,0.1498,0.1512,0.1497,0.1507,1619790.32
2026-09-02 18:10:00,0.1506,0.1508,0.1494,0.1496,456189.16
2026-09-02 18:15:00,0.1497,0.1503,0.1493,0.1497,561910.56
2026-09-02 18:20:00,0.1497,0.15,0.1496,0.15,374982.04
2026-09-02 18:25:00,0.15,0.1504,0.1499,0.15,215045.1
2026-09-02 18:30:00,0.15,0.1507,0.1499,0.1506,206224.19
2026-09-02 18:35:00,0.1506,0.1506,0.15,0.1501,444789.59
2026-09-02 18:40:00,0.1502,0.1505,0.15,0.15,285850.44
2026-09-02 18:45:00,0.15,0.1505,0.1499,0.1502,74725.79
2026-09-02 18:50:00,0.1503,0.1503,0.1499,0.1502,41787.05
2026-09-02 18:55:00,0.1502,0.1503,0.1498,0.1499,479443.23
2026-09-02 19:00:00,0.1498,0.1498,0.1491,0.1493,236730.54
2026-09-02 19:05:00,0.1493,0.1495,0.1492,0.1495,57865.1
2026-09-02 19:10:00,0.1496,0.1496,0.1492,0.1494,311604.86
2026-09-02 19:15:00,0.1494,0.1498,0.1492,0.1493,174009.11
2026-09-02 19:20:00,0.1492,0.1492,0.1489,0.149,138284.53
2026-09-02 19:25:00,0.149,0.1491,0.1488,0.1488,252649.84
2026-09-02 19:30:00,0.1487,0.1488,0.1484,0.1488,162804.0
2026-09-02 19:35:00,0.1487,0.1489,0.1485,0.1489,131314.37
2026-09-02 19:40:00,0.1488,0.149,0.1484,0.1485,183785.13
2026-09-02 19:45:00,0.1486,0.1487,0.1483,0.1483,159113.02
2026-09-02 19:50:00,0.1484,0.1488,0.1484,0.1485,235250.77
2026-09-02 19:55:00,0.1485,0.149,0.1483,0.149,85417.01
2026-09-02 20:00:00,0.1491,0.15,0.1488,0.15,690927.45
2026-09-02 20:05:00,0.15,0.1503,0.1496,0.1497,359127.44
2026-09-02 20:10:00,0.1497,0.1498,0.1489,0.1493,513092.53
2026-09-02 20:15:00,0.1492,0.1493,0.1487,0.1488,254137.15
2026-09-02 20:20:00,0.1489,0.1502,0.1489,0.1502,472908.35
2026-09-02 20:25:00,0.1501,0.1501,0.1498,0.15,212301.04
2026-09-02 20:30:00,0.1499,0.15,0.1495,0.1499,461462.5
2026-09-02 20:35:00,0.15,0.1503,0.1498,0.1501,816714.09
2026-09-02 20:40:00,0.15,0.1503,0.1494,0.1496,276793.06
2026-09-02 20:45:00,0.1495,0.1497,0.1491,0.1496,340996.78
2026-09-02 20:50:00,0.1495,0.1497,0.1493,0.1495,380028.0
2026-09-02 20:55:00,0.1495,0.1497,0.1493,0.1494,332800.14
2026-09-02 21:00:00,0.1493,0.1495,0.1488,0.1491,272881.69
2026-09-02 21:05:00,0.149,0.1491,0.1485,0.1487,248773.45
2026-09-02 21:10:00,0.1486,0.1488,0.1485,0.1487,131045.73
2026-09-02 21:15:00,0.1487,0.1488,0.1482,0.1483,349305.67
2026-09-02 21:20:00,0.1482,0.1483,0.1479,0.1483,403386.16
2026-09-02 21:25:00,0.1483,0.1483,0.1479,0.1479,636758.93
