datetime,open,high,low,close,volume
2026-09-02 08:25:00,2.556,2.564,2.552,2.552,10045.99
2026-09-02 08:30:00,2.553,2.554,2.547,2.549,3748.36
2026-09-02 08:35:00,2.55,2.555,2.546,2.546,14410.08
2026-09-02 08:40:00,2.543,2.545,2.527,2.53,24797.57
2026-09-02 08:45:00,2.529,2.538,2.525,2.526,9801.85
2026-09-02 08:50:00,2.527,2.527,2.518,2.519,27137.09
2026-09-02 08:55:00,2.517,2.525,2.511,2.524,22291.58
2026-09-02 09:00:00,2.524,2.531,2.522,2.53,4415.56
2026-09-02 09:05:00,2.53,2.537,2.528,2.532,19037.97
2026-09-02 09:10:00,2.533,2.539,2.531,2.535,7102.3
2026-09-02 09:15:00,2.535,2.538,2.529,2.533,7176.43
2026-09-02 09:20:00,2.531,2.535,2.512,2.517,13455.27
2026-09-02 09:25:00,2.517,2.524,2.517,2.523,13165.62
2026-09-02 09:30:00,2.523,2.524,2.517,2.52,18335.55
2026-09-02 09:35:00,2.519,2.519,2.511,2.512,6298.7
2026-09-02 09:40:00,2.514,2.52,2.506,2.513,21665.96
2026-09-02 09:45:00,2.514,2.541,2.51,2.539,21377.87
2026-09-02 09:50:00,2.539,2.556,2.539,2.547,38209.49
2026-09-02 09:55:00,2.546,2.546,2.535,2.538,4928.88
2026-09-02 10:00:00,2.54,2.558,2.529,2.533,46884.53
2026-09-02 10:05:00,2.533,2.533,2.516,2.524,9819.61
2026-09-02 10:10:00,2.524,2.525,2.517,2.521,4720.24
2026-09-02 10:15:00,2.522,2.522,2.511,2.513,2197.15
2026-09-02 10:20:00,2.513,2.513,2.501,2.503,16890.59
2026-09-02 10:25:00,2.503,2.504,2.478,2.483,143763.07
2026-09-02 10:30:00,2.483,2.486,2.475,2.479,60573.94
2026-09-02 10:35:00,2.48,2.494,2.48,2.486,16007.52
2026-09-02 10:40:00,2.486,2.49,2.482,2.488,18773.7
2026-09-02 10:45:00,2.489,2.491,2.47,2.476,16680.71
2026-09-02 10:50:00,2.475,2.484,2.47,2.484,15948.29
2026-09-02 10:55:00,2.484,2.494,2.481,2.493,2503.99
2026-09-02 11:00:00,2.492,2.492,2.483,2.484,2061.14
2026-09-02 11:05:00,2.482,2.485,2.476,2.485,3998.54
2026-09-02 11:10:00,2.484,2.484,2.477,2.484,5639.55
2026-09-02 11:15:00,2.484,2.488,2.477,2.478,11080.43
2026-09-02 11:20:00,2.478,2.479,2.471,2.474,7501.99
2026-09-02 11:25:00,2.473,2.474,2.461,2.468,20755.57
2026-09-02 11:30:00,2.469,2.482,2.465,2.482,2936.79
2026-09-02 11:35:00,2.484,2.493,2.482,2.489,4119.31
2026-09-02 11:40:00,2.488,2.49,2.485,2.485,2625.52
2026-09-02 11:45:00,2.484,2.488,2.481,2.484,3542.28
2026-09-02 11:50:00,2.484,2.484,2.481,2.482,4275.68
2026-09-02 11:55:00,2.483,2.484,2.481,2.483,1957.15
2026-09-02 12:00:00,2.483,2.485,2.477,2.477,6131.0
2026-09-02 12:05:00,2.477,2.478,2.469,2.473,9067.73
2026-09-02 12:10:00,2.472,2.486,2.471,2.484,3128.11
2026-09-02 12:15:00,2.482,2.497,2.481,2.496,31678.83
2026-09-02 12:20:00,2.497,2.515,2.494,2.515,16270.8
2026-09-02 12:25:00,2.513,2.518,2.512,2.516,16982.69
2026-09-02 12:30:00,2.515,2.519,2.511,2.511,11273.04
2026-09-02 12:35:00,2.51,2.512,2.494,2.496,24950.55
2026-09-02 12:40:00,2.496,2.501,2.493,2.498,16534.79
2026-09-02 12:45:00,2.496,2.496,2.489,2.491,3422.71
2026-09-02 12:50:00,2.49,2.49,2.485,2.485,1910.51
2026-09-02 12:55:00,2.484,2.484,2.477,2.478,1302.48
2026-09-02 13:00:00,2.479,2.493,2.479,2.493,2593.35
2026-09-02 13:05:00,2.494,2.501,2.493,2.496,6351.43
2026-09-02 13:10:00,2.496,2.496,2.491,2.491,727.79
2026-09-02 13:15:00,2.492,2.498,2.491,2.498,1267.51
2026-09-02 13:20:00,2.498,2.498,2.494,2.498,1389.63
2026-09-02 13:25:00,2.497,2.51,2.495,2.5,13074.19
2026-09-02 13:30:00,2.5,2.503,2.492,2.497,9106.63
2026-09-02 13:35:00,2.495,2.495,2.483,2.489,7897.58
2026-09-02 13:40:00,2.491,2.525,2.491,2.525,12058.21
2026-09-02 13:45:00,2.525,2.527,2.516,2.518,25345.08
2026-09-02 13:50:00,2.518,2.53,2.517,2.524,25665.94
2026-09-02 13:55:00,2.524,2.53,2.519,2.53,15671.58
2026-09-02 14:00:00,2.531,2.533,2.52,2.529,11580.32
2026-09-02 14:05:00,2.53,2.532,2.52,2.52,7143.76
2026-09-02 14:10:00,2.521,2.525,2.513,2.517,4303.39
2026-09-02 14:15:00,2.515,2.518,2.503,2.511,11657.78
2026-09-02 14:20:00,2.51,2.516,2.506,2.506,528.75
2026-09-02 14:25:00,2.504,2.508,2.504,2.508,2439.63
2026-09-02 14:30:00,2.508,2.508,2.501,2.506,5640.22
2026-09-02 14:35:00,2.506,2.51,2.504,2.506,16565.26
