datetime,open,high,low,close,volume
2026-09-02 12:05:00,4.779,4.79,4.779,4.784,1112.15
2026-09-02 12:10:00,4.784,4.799,4.783,4.797,1291.98
2026-09-02 12:15:00,4.796,4.823,4.792,4.813,4536.59
2026-09-02 12:20:00,4.812,4.845,4.81,4.844,3940.57
2026-09-02 12:25:00,4.842,4.856,4.842,4.849,9253.01
2026-09-02 12:30:00,4.85,4.86,4.832,4.858,8234.91
2026-09-02 12:35:00,4.858,4.862,4.821,4.828,8774.05
2026-09-02 12:40:00,4.83,4.835,4.814,4.816,4476.16
2026-09-02 12:45:00,4.815,4.815,4.801,4.804,1131.1
2026-09-02 12:50:00,4.802,4.808,4.793,4.793,494.45
2026-09-02 12:55:00,4.794,4.795,4.77,4.77,23933.96
2026-09-02 13:00:00,4.77,4.776,4.764,4.769,42871.83
2026-09-02 13:05:00,4.769,4.772,4.744,4.758,12870.84
2026-09-02 13:10:00,4.759,4.76,4.738,4.739,3329.24
2026-09-02 13:15:00,4.739,4.753,4.736,4.747,10303.81
2026-09-02 13:20:00,4.743,4.75,4.741,4.749,4065.59
2026-09-02 13:25:00,4.747,4.762,4.743,4.745,6360.08
2026-09-02 13:30:00,4.744,4.755,4.74,4.745,19876.38
2026-09-02 13:35:00,4.744,4.744,4.73,4.741,7017.81
2026-09-02 13:40:00,4.742,4.811,4.74,4.811,12116.46
2026-09-02 13:45:00,4.811,4.813,4.786,4.787,3212.21
2026-09-02 13:50:00,4.788,4.799,4.782,4.788,1002.84
2026-09-02 13:55:00,4.789,4.792,4.779,4.792,1592.19
2026-09-02 14:00:00,4.792,4.792,4.769,4.776,2051.14
2026-09-02 14:05:00,4.777,4.786,4.775,4.775,2302.94
2026-09-02 14:10:00,4.776,4.79,4.776,4.785,1944.41
2026-09-02 14:15:00,4.785,4.788,4.777,4.786,847.22
2026-09-02 14:20:00,4.785,4.797,4.783,4.785,1814.29
2026-09-02 14:25:00,4.784,4.786,4.777,4.786,1049.08
2026-09-02 14:30:00,4.785,4.785,4.765,4.778,1303.96
2026-09-02 14:35:00,4.777,4.778,4.767,4.775,1765.84
2026-09-02 14:40:00,4.776,4.79,4.774,4.786,1564.43
2026-09-02 14:45:00,4.787,4.795,4.772,4.773,2505.29
2026-09-02 14:50:00,4.771,4.774,4.753,4.756,6316.24
2026-09-02 14:55:00,4.753,4.762,4.744,4.746,2187.81
2026-09-02 15:00:00,4.745,4.762,4.733,4.754,4514.58
2026-09-02 15:05:00,4.753,4.762,4.737,4.741,1378.84
2026-09-02 15:10:00,4.74,4.745,4.718,4.741,16822.34
2026-09-02 15:15:00,4.741,4.773,4.737,4.767,6136.55
2026-09-02 15:20:00,4.769,4.776,4.755,4.76,1992.52
2026-09-02 15:25:00,4.759,4.766,4.754,4.755,3053.22
2026-09-02 15:30:00,4.76,4.772,4.752,4.769,6737.6
2026-09-02 15:35:00,4.77,4.779,4.761,4.762,1280.55
2026-09-02 15:40:00,4.762,4.789,4.762,4.783,1345.1
2026-09-02 15:45:00,4.783,4.783,4.762,4.763,1410.28
2026-09-02 15:50:00,4.763,4.765,4.757,4.762,1049.24
2026-09-02 15:55:00,4.764,4.778,4.762,4.776,589.79
2026-09-02 16:00:00,4.776,4.776,4.765,4.773,3376.33
2026-09-02 16:05:00,4.774,4.775,4.762,4.773,2472.88
2026-09-02 16:10:00,4.771,4.777,4.767,4.77,3509.47
2026-09-02 16:15:00,4.771,4.772,4.757,4.772,1611.91
2026-09-02 16:20:00,4.773,4.781,4.763,4.78,4454.98
2026-09-02 16:25:00,4.779,4.782,4.764,4.768,2942.47
2026-09-02 16:30:00,4.769,4.779,4.769,4.773,3224.33
2026-09-02 16:35:00,4.77,4.77,4.755,4.759,2093.07
2026-09-02 16:40:00,4.762,4.762,4.753,4.754,566.15
2026-09-02 16:45:00,4.756,4.76,4.737,4.749,3601.63
2026-09-02 16:50:00,4.746,4.759,4.744,4.752,1504.22
2026-09-02 16:55:00,4.753,4.762,4.751,4.76,748.37
2026-09-02 17:00:00,4.76,4.769,4.752,4.754,920.57
2026-09-02 17:05:00,4.752,4.752,4.735,4.742,1107.46
2026-09-02 17:10:00,4.742,4.752,4.74,4.745,603.48
2026-09-02 17:15:00,4.743,4.748,4.735,4.743,1166.95
2026-09-02 17:20:00,4.741,4.752,4.735,4.748,1765.08
2026-09-02 17:25:00,4.747,4.757,4.747,4.756,338.65
2026-09-02 17:30:00,4.757,4.77,4.757,4.77,461.01
2026-09-02 17:35:00,4.766,4.766,4.756,4.757,297.29
2026-09-02 17:40:00,4.76,4.764,4.747,4.763,1624.58
2026-09-02 17:45:00,4.764,4.777,4.764,4.776,684.42
2026-09-02 17:50:00,4.776,4.776,4.767,4.768,174.68
2026-09-02 17:55:00,4.767,4.769,4.763,4.768,358.62
2026-09-02 18:00:00,4.768,4.769,4.757,4.758,598.71
2026-09-02 18:05:00,4.757,4.758,4.752,4.758,699.97
2026-09-02 18:10:00,4.756,4.758,4.751,4.757,279.87
2026-09-02 18:15:00,4.756,4.758,4.746,4.754,2415.97
2026-09-02 18:20:00,4.753,4.753,4.743,4.746,2061.97
2026-09-02 18:25:00,4.745,4.745,4.737,4.737,1089.69
2026-09-02 18:30:00,4.738,4.747,4.736,4.747,743.87
2026-09-02 18:35:00,4.744,4.75,4.743,4.748,753.25
2026-09-02 18:40:00,4.746,4.757,4.745,4.749,1717.81
2026-09-02 18:45:00,4.749,4.759,4.744,4.759,1183.33
2026-09-02 18:50:00,4.758,4.768,4.754,4.768,240.61
2026-09-02 18:55:00,4.769,4.771,4.759,4.77,2317.92
2026-09-02 19:00:00,4.766,4.77,4.763,4.767,995.95
2026-09-02 19:05:00,4.766,4.768,4.763,4.767,587.56
2026-09-02 19:10:00,4.767,4.769,4.763,4.766,1748.0
2026-09-02 19:15:00,4.767,4.769,4.75,4.75,562.79
2026-09-02 19:20:00,4.749,4.749,4.743,4.745,206.93
2026-09-02 19:25:00,4.745,4.745,4.739,4.74,120.6
2026-09-02 19:30:00,4.741,4.743,4.737,4.738,838.04
2026-09-02 19:35:00,4.738,4.739,4.726,4.738,9665.19
2026-09-02 19:40:00,4.739,4.745,4.733,4.741,1293.01
2026-09-02 19:45:00,4.741,4.748,4.741,4.742,468.02
2026-09-02 19:50:00,4.74,4.744,4.74,4.742,323.94
2026-09-02 19:55:00,4.739,4.754,4.735,4.752,788.62
2026-09-02 20:00:00,4.756,4.781,4.753,4.781,586.36
2026-09-02 20:05:00,4.779,4.781,4.756,4.756,3600.99
2026-09-02 20:10:00,4.756,4.756,4.74,4.743,1113.03
2026-09-02 20:15:00,4.743,4.746,4.734,4.737,2282.67
2026-09-02 20:20:00,4.745,4.766,4.745,4.762,797.96
2026-09-02 20:25:00,4.761,4.761,4.748,4.749,85.01
2026-09-02 20:30:00,4.747,4.756,4.746,4.753,398.79
2026-09-02 20:35:00,4.752,4.76,4.751,4.756,566.98
2026-09-02 20:40:00,4.755,4.756,4.75,4.756,909.68
2026-09-02 20:45:00,4.755,4.762,4.748,4.758,1440.87
2026-09-02 20:50:00,4.758,4.764,4.754,4.756,663.59
2026-09-02 20:55:00,4.756,4.762,4.752,4.758,436.48
2026-09-02 21:00:00,4.757,4.757,4.745,4.746,931.17
2026-09-02 21:05:00,4.745,4.749,4.744,4.747,351.6
2026-09-02 21:10:00,4.746,4.758,4.746,4.756,327.93
2026-09-02 21:15:00,4.757,4.762,4.756,4.762,150.6
2026-09-02 21:20:00,4.762,4.769,4.756,4.769,400.09
2026-09-02 21:25:00,4.768,4.769,4.759,4.763,351.17
2026-09-02 21:30:00,4.762,4.762,4.751,4.753,1197.54
2026-09-02 21:35:00,4.753,4.764,4.752,4.764,872.38
2026-09-02 21:40:00,4.762,4.779,4.761,4.779,387.84
2026-09-02 21:45:00,4.779,4.779,4.761,4.764,1141.07
2026-09-02 21:50:00,4.762,4.768,4.759,4.765,310.75
2026-09-02 21:55:00,4.765,4.771,4.76,4.761,289.23
2026-09-02 22:00:00,4.76,4.768,4.754,4.755,714.38
2026-09-02 22:05:00,4.752,4.753,4.744,4.744,241.47
2026-09-02 22:10:00,4.744,4.746,4.738,4.744,1580.79
2026-09-02 22:15:00,4.743,4.753,4.74,4.74,1074.2
2026-09-02 22:20:00,4.739,4.739,4.73,4.734,5370.46
2026-09-02 22:25:00,4.733,4.735,4.725,4.727,10664.11
2026-09-02 22:30:00,4.726,4.732,4.725,4.73,3245.25
2026-09-02 22:35:00,4.729,4.742,4.729,4.736,584.84
2026-09-02 22:40:00,4.737,4.747,4.737,4.746,265.49
2026-09-02 22:45:00,4.744,4.748,4.739,4.743,358.1
2026-09-02 22:50:00,4.743,4.745,4.737,4.741,1790.33
2026-09-02 22:55:00,4.741,4.741,4.731,4.733,167.88
2026-09-02 23:00:00,4.735,4.751,4.735,4.751,2442.22
2026-09-02 23:05:00,4.752,4.76,4.749,4.76,226.73
2026-09-02 23:10:00,4.761,4.765,4.756,4.758,144.72
2026-09-02 23:15:00,4.759,4.759,4.751,4.752,1204.46
2026-09-02 23:20:00,4.751,4.755,4.751,4.755,92.61
2026-09-02 23:25:00,4.753,4.76,4.753,4.759,105.71
2026-09-02 23:30:00,4.76,4.764,4.75,4.751,1620.4
2026-09-02 23:35:00,4.75,4.751,4.746,4.747,376.65
2026-09-02 23:40:00,4.747,4.747,4.741,4.741,274.09
2026-09-02 23:45:00,4.742,4.751,4.742,4.751,284.59
2026-09-02 23:50:00,4.756,4.765,4.756,4.764,211.36
2026-09-02 23:55:00,4.766,4.772,4.765,4.769,127.72
2026-09-03 00:00:00,4.769,4.781,4.76,4.772,2519.5
2026-09-03 00:05:00,4.774,4.783,4.762,4.764,1199.25
2026-09-03 00:10:00,4.765,4.777,4.762,4.762,653.67
2026-09-03 00:15:00,4.762,4.763,4.758,4.763,507.9
2026-09-03 00:20:00,4.759,4.766,4.754,4.765,529.96
2026-09-03 00:25:00,4.766,4.773,4.757,4.76,2258.37
2026-09-03 00:30:00,4.759,4.769,4.753,4.753,2790.77
2026-09-03 00:35:00,4.752,4.766,4.745,4.766,644.59
2026-09-03 00:40:00,4.763,4.767,4.757,4.76,282.3
2026-09-03 00:45:00,4.759,4.766,4.759,4.76,167.08
2026-09-03 00:50:00,4.761,4.786,4.752,4.753,7301.33
2026-09-03 00:55:00,4.754,4.762,4.749,4.749,3285.41
2026-09-03 01:00:00,4.749,4.753,4.737,4.749,2098.18
2026-09-03 01:05:00,4.752,4.773,4.752,4.766,3077.08
2026-09-03 01:10:00,4.766,4.798,4.761,4.798,5531.3
2026-09-03 01:15:00,4.797,4.799,4.789,4.793,3249.14
2026-09-03 01:20:00,4.791,4.821,4.79,4.815,2634.42
2026-09-03 01:25:00,4.81,4.816,4.799,4.815,2570.79
2026-09-03 01:30:00,4.817,4.827,4.807,4.823,2664.0
2026-09-03 01:35:00,4.826,4.827,4.801,4.808,1658.86
2026-09-03 01:40:00,4.807,4.819,4.802,4.803,710.28
2026-09-03 01:45:00,4.803,4.808,4.796,4.808,764.41
