datetime,open,high,low,close,volume
2026-09-02 08:50:00,1.844,1.846,1.839,1.842,75545.8
2026-09-02 08:55:00,1.842,1.849,1.84,1.849,56972.7
2026-09-02 09:00:00,1.849,1.858,1.848,1.855,60597.9
2026-09-02 09:05:00,1.856,1.857,1.853,1.854,23710.4
2026-09-02 09:10:00,1.854,1.854,1.849,1.85,35299.9
2026-09-02 09:15:00,1.851,1.852,1.847,1.851,27867.4
2026-09-02 09:20:00,1.851,1.853,1.84,1.847,88659.8
2026-09-02 09:25:00,1.848,1.857,1.848,1.856,31334.5
2026-09-02 09:30:00,1.857,1.857,1.844,1.846,88771.0
2026-09-02 09:35:00,1.846,1.847,1.841,1.843,59813.6
2026-09-02 09:40:00,1.844,1.846,1.842,1.842,40002.8
2026-09-02 09:45:00,1.842,1.847,1.84,1.845,59435.1
2026-09-02 09:50:00,1.846,1.851,1.842,1.843,34726.4
2026-09-02 09:55:00,1.843,1.843,1.833,1.838,163583.8
2026-09-02 10:00:00,1.838,1.838,1.831,1.832,49911.1
2026-09-02 10:05:00,1.832,1.84,1.827,1.837,285419.7
2026-09-02 10:10:00,1.836,1.845,1.836,1.845,120588.1
2026-09-02 10:15:00,1.845,1.85,1.845,1.85,109989.3
2026-09-02 10:20:00,1.85,1.85,1.848,1.848,60108.6
2026-09-02 10:25:00,1.848,1.848,1.843,1.844,45084.6
2026-09-02 10:30:00,1.843,1.844,1.839,1.842,97202.3
2026-09-02 10:35:00,1.842,1.846,1.838,1.839,78866.4
2026-09-02 10:40:00,1.839,1.846,1.837,1.846,48228.5
2026-09-02 10:45:00,1.845,1.846,1.834,1.836,55224.7
2026-09-02 10:50:00,1.836,1.838,1.828,1.838,154026.4
2026-09-02 10:55:00,1.838,1.848,1.838,1.848,69831.7
2026-09-02 11:00:00,1.847,1.847,1.84,1.841,71969.6
2026-09-02 11:05:00,1.842,1.847,1.84,1.847,75017.5
2026-09-02 11:10:00,1.846,1.847,1.841,1.845,25728.9
2026-09-02 11:15:00,1.845,1.852,1.843,1.847,146230.2
2026-09-02 11:20:00,1.848,1.849,1.844,1.847,74231.7
2026-09-02 11:25:00,1.848,1.851,1.846,1.851,71404.1
2026-09-02 11:30:00,1.852,1.852,1.847,1.852,37090.6
2026-09-02 11:35:00,1.853,1.861,1.852,1.859,67827.4
2026-09-02 11:40:00,1.859,1.863,1.854,1.856,94152.1
2026-09-02 11:45:00,1.856,1.859,1.852,1.855,34891.0
2026-09-02 11:50:00,1.855,1.86,1.853,1.856,52365.6
2026-09-02 11:55:00,1.856,1.859,1.856,1.859,20141.5
2026-09-02 12:00:00,1.858,1.859,1.854,1.855,26878.4
2026-09-02 12:05:00,1.856,1.858,1.853,1.854,41062.7
2026-09-02 12:10:00,1.854,1.857,1.853,1.856,27254.2
2026-09-02 12:15:00,1.855,1.863,1.852,1.857,39710.3
2026-09-02 12:20:00,1.856,1.865,1.856,1.861,96996.1
2026-09-02 12:25:00,1.86,1.86,1.853,1.855,95766.5
2026-09-02 12:30:00,1.855,1.856,1.851,1.853,77159.7
2026-09-02 12:35:00,1.853,1.854,1.848,1.849,27682.5
2026-09-02 12:40:00,1.849,1.851,1.846,1.848,23129.2
2026-09-02 12:45:00,1.847,1.848,1.845,1.845,21188.6
2026-09-02 12:50:00,1.845,1.847,1.84,1.84,42583.9
2026-09-02 12:55:00,1.841,1.841,1.837,1.838,39701.2
2026-09-02 13:00:00,1.838,1.844,1.838,1.842,140984.7
2026-09-02 13:05:00,1.842,1.846,1.842,1.845,42405.9
2026-09-02 13:10:00,1.844,1.844,1.84,1.84,21224.9
2026-09-02 13:15:00,1.839,1.845,1.839,1.844,33852.5
2026-09-02 13:20:00,1.845,1.846,1.842,1.845,22305.0
2026-09-02 13:25:00,1.845,1.85,1.843,1.848,20766.2
2026-09-02 13:30:00,1.847,1.85,1.846,1.849,16501.4
2026-09-02 13:35:00,1.85,1.85,1.842,1.846,33813.0
2026-09-02 13:40:00,1.847,1.872,1.847,1.871,61525.4
2026-09-02 13:45:00,1.872,1.875,1.862,1.863,122949.0
2026-09-02 13:50:00,1.863,1.867,1.86,1.861,51866.7
2026-09-02 13:55:00,1.862,1.862,1.854,1.861,71796.6
2026-09-02 14:00:00,1.861,1.861,1.854,1.857,30634.8
2026-09-02 14:05:00,1.858,1.868,1.858,1.864,33697.5
2026-09-02 14:10:00,1.864,1.867,1.86,1.865,19464.1
2026-09-02 14:15:00,1.865,1.866,1.861,1.864,12282.2
2026-09-02 14:20:00,1.863,1.87,1.862,1.863,29003.4
2026-09-02 14:25:00,1.862,1.865,1.86,1.863,33216.5
2026-09-02 14:30:00,1.863,1.863,1.854,1.857,32295.3
2026-09-02 14:35:00,1.858,1.858,1.854,1.858,44424.1
2026-09-02 14:40:00,1.858,1.864,1.857,1.864,23609.4
2026-09-02 14:45:00,1.864,1.865,1.858,1.859,32069.7
2026-09-02 14:50:00,1.859,1.859,1.854,1.855,55732.7
2026-09-02 14:55:00,1.856,1.86,1.843,1.844,142178.2
2026-09-02 15:00:00,1.843,1.853,1.836,1.85,79166.2
2026-09-02 15:05:00,1.85,1.853,1.84,1.844,40779.8
2026-09-02 15:10:00,1.843,1.843,1.835,1.836,77001.7
2026-09-02 15:15:00,1.837,1.844,1.835,1.841,54539.4
2026-09-02 15:20:00,1.842,1.843,1.831,1.836,94384.0
2026-09-02 15:25:00,1.835,1.842,1.833,1.84,50359.8
2026-09-02 15:30:00,1.841,1.848,1.838,1.847,39260.9
2026-09-02 15:35:00,1.848,1.854,1.848,1.851,49768.2
2026-09-02 15:40:00,1.851,1.858,1.849,1.856,51100.6
2026-09-02 15:45:00,1.856,1.856,1.847,1.848,68758.9
2026-09-02 15:50:00,1.849,1.854,1.847,1.852,33399.3
2026-09-02 15:55:00,1.853,1.853,1.851,1.852,34049.3
2026-09-02 16:00:00,1.852,1.852,1.847,1.848,58121.9
2026-09-02 16:05:00,1.848,1.855,1.845,1.851,78418.6
2026-09-02 16:10:00,1.852,1.856,1.851,1.854,35711.8
2026-09-02 16:15:00,1.854,1.859,1.853,1.858,37830.0
2026-09-02 16:20:00,1.858,1.866,1.858,1.864,62273.6
2026-09-02 16:25:00,1.864,1.864,1.857,1.857,40242.0
2026-09-02 16:30:00,1.857,1.861,1.857,1.859,20951.4
2026-09-02 16:35:00,1.859,1.86,1.854,1.857,40037.4
2026-09-02 16:40:00,1.856,1.856,1.85,1.851,27469.5
2026-09-02 16:45:00,1.851,1.853,1.848,1.851,15617.8
2026-09-02 16:50:00,1.851,1.854,1.849,1.852,21836.3
2026-09-02 16:55:00,1.852,1.853,1.847,1.847,40077.8
2026-09-02 17:00:00,1.848,1.852,1.846,1.846,31367.1
2026-09-02 17:05:00,1.847,1.847,1.838,1.842,86541.3
2026-09-02 17:10:00,1.842,1.846,1.841,1.842,46350.7
2026-09-02 17:15:00,1.843,1.845,1.837,1.84,64751.2
2026-09-02 17:20:00,1.839,1.845,1.837,1.844,33649.9
2026-09-02 17:25:00,1.843,1.847,1.843,1.846,23826.6
2026-09-02 17:30:00,1.846,1.852,1.845,1.851,24591.0
2026-09-02 17:35:00,1.85,1.85,1.847,1.847,19816.0
2026-09-02 17:40:00,1.848,1.853,1.846,1.851,13773.9
2026-09-02 17:45:00,1.852,1.858,1.852,1.857,22350.1
2026-09-02 17:50:00,1.857,1.858,1.855,1.855,7838.1
2026-09-02 17:55:00,1.856,1.857,1.853,1.855,13245.9
2026-09-02 18:00:00,1.854,1.855,1.849,1.85,17093.7
2026-09-02 18:05:00,1.85,1.853,1.848,1.853,11482.0
2026-09-02 18:10:00,1.854,1.855,1.851,1.853,30439.6
2026-09-02 18:15:00,1.854,1.858,1.851,1.852,43102.9
2026-09-02 18:20:00,1.852,1.854,1.848,1.851,33465.9
2026-09-02 18:25:00,1.851,1.853,1.848,1.85,14422.3
2026-09-02 18:30:00,1.849,1.854,1.849,1.852,23520.2
2026-09-02 18:35:00,1.852,1.854,1.848,1.848,13852.9
2026-09-02 18:40:00,1.848,1.851,1.846,1.848,22695.2
2026-09-02 18:45:00,1.849,1.856,1.849,1.856,9197.2
2026-09-02 18:50:00,1.857,1.86,1.854,1.86,20946.8
2026-09-02 18:55:00,1.861,1.864,1.859,1.861,41610.8
2026-09-02 19:00:00,1.86,1.861,1.856,1.857,27143.2
2026-09-02 19:05:00,1.857,1.862,1.857,1.862,7578.3
2026-09-02 19:10:00,1.863,1.864,1.859,1.862,47987.1
2026-09-02 19:15:00,1.863,1.863,1.857,1.859,16867.7
2026-09-02 19:20:00,1.859,1.861,1.856,1.858,14056.8
2026-09-02 19:25:00,1.858,1.858,1.853,1.853,10471.8
2026-09-02 19:30:00,1.852,1.853,1.848,1.849,38015.0
2026-09-02 19:35:00,1.848,1.848,1.844,1.848,36084.8
2026-09-02 19:40:00,1.847,1.853,1.847,1.853,13331.9
2026-09-02 19:45:00,1.852,1.854,1.851,1.851,3213.4
2026-09-02 19:50:00,1.851,1.858,1.851,1.852,23039.1
2026-09-02 19:55:00,1.852,1.861,1.851,1.861,12152.6
2026-09-02 20:00:00,1.86,1.869,1.859,1.868,34709.8
2026-09-02 20:05:00,1.869,1.871,1.859,1.865,481003.4
2026-09-02 20:10:00,1.865,1.866,1.861,1.865,17565.7
2026-09-02 20:15:00,1.864,1.865,1.856,1.859,38341.0
2026-09-02 20:20:00,1.86,1.872,1.86,1.871,29363.2
2026-09-02 20:25:00,1.872,1.872,1.865,1.867,30591.3
2026-09-02 20:30:00,1.867,1.871,1.865,1.869,38990.0
2026-09-02 20:35:00,1.87,1.879,1.87,1.874,64432.7
2026-09-02 20:40:00,1.875,1.875,1.866,1.867,57687.6
2026-09-02 20:45:00,1.866,1.873,1.864,1.871,48584.2
2026-09-02 20:50:00,1.871,1.876,1.871,1.873,68310.5
2026-09-02 20:55:00,1.873,1.877,1.872,1.875,27505.6
2026-09-02 21:00:00,1.875,1.876,1.869,1.87,50744.7
2026-09-02 21:05:00,1.869,1.873,1.868,1.872,40783.7
2026-09-02 21:10:00,1.871,1.876,1.87,1.871,26525.7
2026-09-02 21:15:00,1.871,1.872,1.867,1.869,16672.9
2026-09-02 21:20:00,1.869,1.879,1.868,1.878,19975.7
2026-09-02 21:25:00,1.878,1.879,1.874,1.874,17712.9
2026-09-02 21:30:00,1.873,1.876,1.869,1.869,23632.2
2026-09-02 21:35:00,1.869,1.878,1.869,1.878,8638.5
2026-09-02 21:40:00,1.878,1.879,1.871,1.876,63773.3
2026-09-02 21:45:00,1.877,1.881,1.874,1.874,60856.2
2026-09-02 21:50:00,1.875,1.878,1.874,1.878,8022.3
2026-09-02 21:55:00,1.879,1.879,1.873,1.875,38647.9
2026-09-02 22:00:00,1.875,1.875,1.869,1.87,24862.8
2026-09-02 22:05:00,1.869,1.869,1.866,1.866,18892.5
2026-09-02 22:10:00,1.866,1.87,1.864,1.867,35362.9
2026-09-02 22:15:00,1.867,1.868,1.863,1.863,9077.1
2026-09-02 22:20:00,1.862,1.862,1.856,1.858,42267.6
2026-09-02 22:25:00,1.858,1.86,1.858,1.859,30301.6
2026-09-02 22:30:00,1.859,1.866,1.859,1.866,27475.8
2026-09-02 22:35:00,1.866,1.87,1.865,1.87,16173.0
2026-09-02 22:40:00,1.871,1.876,1.871,1.875,19877.1
2026-09-02 22:45:00,1.874,1.878,1.871,1.874,29031.5
2026-09-02 22:50:00,1.874,1.874,1.872,1.873,29429.6
2026-09-02 22:55:00,1.872,1.879,1.87,1.878,96259.8
2026-09-02 23:00:00,1.877,1.88,1.873,1.88,27264.6
2026-09-02 23:05:00,1.881,1.885,1.88,1.885,15959.0
2026-09-02 23:10:00,1.885,1.886,1.881,1.884,14105.6
2026-09-02 23:15:00,1.885,1.885,1.879,1.88,24895.9
2026-09-02 23:20:00,1.88,1.881,1.877,1.879,15577.5
2026-09-02 23:25:00,1.878,1.88,1.876,1.879,18281.8
2026-09-02 23:30:00,1.879,1.881,1.874,1.875,56079.7
2026-09-02 23:35:00,1.876,1.88,1.875,1.879,24819.0
2026-09-02 23:40:00,1.88,1.88,1.876,1.877,11961.5
2026-09-02 23:45:00,1.878,1.885,1.876,1.884,36100.0
2026-09-02 23:50:00,1.885,1.887,1.883,1.886,27240.1
2026-09-02 23:55:00,1.886,1.89,1.883,1.888,68487.5
2026-09-03 00:00:00,1.887,1.89,1.882,1.884,64417.8
2026-09-03 00:05:00,1.885,1.886,1.872,1.874,47980.9
2026-09-03 00:10:00,1.873,1.877,1.869,1.87,39723.4
2026-09-03 00:15:00,1.869,1.87,1.866,1.868,16702.8
2026-09-03 00:20:00,1.868,1.869,1.863,1.865,45135.3
2026-09-03 00:25:00,1.865,1.866,1.863,1.864,17183.4
2026-09-03 00:30:00,1.865,1.866,1.863,1.863,32121.6
2026-09-03 00:35:00,1.863,1.869,1.86,1.869,34385.9
2026-09-03 00:40:00,1.869,1.871,1.865,1.866,12361.5
2026-09-03 00:45:00,1.867,1.87,1.865,1.865,10288.7
2026-09-03 00:50:00,1.866,1.868,1.865,1.866,25039.7
2026-09-03 00:55:00,1.865,1.867,1.862,1.863,37148.7
2026-09-03 01:00:00,1.863,1.864,1.851,1.858,114465.7
2026-09-03 01:05:00,1.859,1.875,1.859,1.873,22453.6
2026-09-03 01:10:00,1.873,1.881,1.87,1.88,57237.7
2026-09-03 01:15:00,1.879,1.88,1.876,1.877,18738.4
2026-09-03 01:20:00,1.876,1.882,1.875,1.88,27768.2
2026-09-03 01:25:00,1.879,1.883,1.879,1.882,25064.4
2026-09-03 01:30:00,1.883,1.885,1.881,1.884,33063.2
2026-09-03 01:35:00,1.884,1.885,1.877,1.882,38527.1
2026-09-03 01:40:00,1.882,1.884,1.878,1.878,35458.7
2026-09-03 01:45:00,1.877,1.877,1.87,1.871,28169.9
2026-09-03 01:50:00,1.872,1.876,1.868,1.872,29171.5
2026-09-03 01:55:00,1.873,1.874,1.863,1.864,20348.6
2026-09-03 02:00:00,1.864,1.866,1.862,1.863,26299.1
2026-09-03 02:05:00,1.863,1.868,1.862,1.864,18058.3
2026-09-03 02:10:00,1.865,1.869,1.864,1.869,22146.7
2026-09-03 02:15:00,1.869,1.871,1.868,1.869,9216.8
2026-09-03 02:20:00,1.869,1.87,1.867,1.868,19641.0
2026-09-03 02:25:00,1.868,1.873,1.866,1.872,13032.7
2026-09-03 02:30:00,1.871,1.883,1.87,1.883,40356.6
2026-09-03 02:35:00,1.882,1.901,1.881,1.895,421898.3
2026-09-03 02:40:00,1.896,1.908,1.896,1.9,128001.0
2026-09-03 02:45:00,1.9,1.902,1.897,1.901,40237.6
2026-09-03 02:50:00,1.901,1.905,1.901,1.903,22485.2
2026-09-03 02:55:00,1.903,1.904,1.902,1.903,13246.1
