datetime,open,high,low,close,volume
2026-07-05 03:35:00,552.0,552.07,550.6,551.84,22353.78
2026-07-05 03:40:00,551.84,552.93,551.83,552.45,6033.56
2026-07-05 03:45:00,552.45,552.8,551.65,552.54,17648.34
2026-07-05 03:50:00,552.54,552.82,551.88,552.56,88333.1
2026-07-05 03:55:00,552.56,554.12,552.14,553.58,26859.76
2026-07-05 04:00:00,553.58,554.18,553.51,553.92,87086.53
2026-07-05 04:05:00,553.92,555.91,553.8,555.61,47764.49
2026-07-05 04:10:00,555.61,555.71,555.11,555.15,85799.69
2026-07-05 04:15:00,555.15,555.93,554.24,555.3,986.67
2026-07-05 04:20:00,555.3,556.45,555.18,555.47,31591.28
2026-07-05 04:25:00,555.47,556.99,555.4,556.36,73981.66
2026-07-05 04:30:00,556.36,556.47,555.92,556.37,13192.97
2026-07-05 04:35:00,556.37,556.53,555.58,555.72,9073.85
2026-07-05 04:40:00,555.72,556.64,555.57,555.87,45396.29
2026-07-05 04:45:00,555.87,556.71,554.63,554.69,57848.17
2026-07-05 04:50:00,554.69,554.84,553.7,554.13,46989.03
2026-07-05 04:55:00,554.13,554.42,553.06,553.14,131422.32
2026-07-05 05:00:00,553.14,554.22,553.0,553.97,207723.08
2026-07-05 05:05:00,553.97,554.49,553.34,554.23,130243.41
2026-07-05 05:10:00,554.23,554.81,552.97,553.38,105037.02
2026-07-05 05:15:00,553.38,554.19,553.26,554.13,30343.69
2026-07-05 05:20:00,554.13,554.53,553.75,554.09,7478.02
2026-07-05 05:25:00,554.09,554.65,554.02,554.39,54857.89
2026-07-05 05:30:00,554.39,554.94,554.19,554.42,7469.72
2026-07-05 05:35:00,554.42,554.48,553.96,554.17,94466.83
2026-07-05 05:40:00,554.17,554.28,554.08,554.19,2227.71
2026-07-05 05:45:00,554.19,554.54,553.85,554.0,25901.62
2026-07-05 05:50:00,554.0,554.35,552.95,553.38,126985.22
2026-07-05 05:55:00,553.38,553.6,552.81,553.11,4445.27
2026-07-05 06:00:00,553.11,553.53,552.25,552.81,94005.42
2026-07-05 06:05:00,552.81,553.19,552.78,552.9,354.03
2026-07-05 06:10:00,552.9,553.82,552.86,553.51,43338.58
2026-07-05 06:15:00,553.51,553.89,552.7,552.89,2122.36
2026-07-05 06:20:00,552.89,553.1,552.76,552.82,112299.28
