datetime,open,high,low,close,volume
2026-07-05 03:35:00,1.75,1.75,1.75,1.75,22453.74
2026-07-05 03:40:00,1.75,1.75,1.75,1.75,53253.13
2026-07-05 03:45:00,1.75,1.75,1.74,1.74,134707.09
2026-07-05 03:50:00,1.74,1.75,1.74,1.75,77732.07
2026-07-05 03:55:00,1.75,1.75,1.74,1.75,55579.43
2026-07-05 04:00:00,1.75,1.75,1.74,1.74,42247.18
2026-07-05 04:05:00,1.74,1.75,1.74,1.74,238646.11
2026-07-05 04:10:00,1.74,1.75,1.74,1.75,42121.92
2026-07-05 04:15:00,1.75,1.75,1.75,1.75,109053.95
2026-07-05 04:20:00,1.75,1.75,1.75,1.75,32277.5
2026-07-05 04:25:00,1.75,1.75,1.75,1.75,17944.66
2026-07-05 04:30:00,1.75,1.75,1.75,1.75,54926.21
2026-07-05 04:35:00,1.75,1.75,1.74,1.74,66364.32
2026-07-05 04:40:00,1.74,1.75,1.74,1.74,38284.58
2026-07-05 04:45:00,1.74,1.74,1.74,1.74,1082.85
2026-07-05 04:50:00,1.74,1.74,1.74,1.74,9905.61
2026-07-05 04:55:00,1.74,1.74,1.74,1.74,90601.62
2026-07-05 05:00:00,1.74,1.74,1.74,1.74,80391.31
2026-07-05 05:05:00,1.74,1.74,1.74,1.74,85731.22
2026-07-05 05:10:00,1.74,1.74,1.74,1.74,6041.83
2026-07-05 05:15:00,1.74,1.74,1.74,1.74,115657.77
2026-07-05 05:20:00,1.74,1.74,1.74,1.74,10084.66
2026-07-05 05:25:00,1.74,1.74,1.74,1.74,13487.23
2026-07-05 05:30:00,1.74,1.74,1.74,1.74,10212.57
2026-07-05 05:35:00,1.74,1.74,1.74,1.74,22802.27
2026-07-05 05:40:00,1.74,1.74,1.74,1.74,61086.74
2026-07-05 05:45:00,1.74,1.74,1.74,1.74,166126.92
2026-07-05 05:50:00,1.74,1.74,1.74,1.74,132209.05
2026-07-05 05:55:00,1.74,1.75,1.74,1.74,5586.11
2026-07-05 06:00:00,1.74,1.75,1.74,1.75,40678.63
2026-07-05 06:05:00,1.75,1.75,1.75,1.75,17735.07
2026-07-05 06:10:00,1.75,1.75,1.75,1.75,50362.27
2026-07-05 06:15:00,1.75,1.75,1.75,1.75,83957.78
2026-07-05 06:20:00,1.75,1.76,1.75,1.75,29298.35
2026-07-05 06:25:00,1.75,1.75,1.75,1.75,49101.27
2026-07-05 06:30:00,1.75,1.75,1.75,1.75,126118.68
2026-07-05 06:35:00,1.75,1.75,1.75,1.75,14973.27
2026-07-05 06:40:00,1.75,1.76,1.75,1.76,20840.98
2026-07-05 06:45:00,1.76,1.76,1.76,1.76,32504.5
2026-07-05 06:50:00,1.76,1.76,1.76,1.76,37948.12
2026-07-05 06:55:00,1.76,1.76,1.76,1.76,69575.91
2026-07-05 07:00:00,1.76,1.76,1.76,1.76,2378.67
2026-07-05 07:05:00,1.76,1.76,1.76,1.76,3300.19
2026-07-05 07:10:00,1.76,1.76,1.76,1.76,109940.21
2026-07-05 07:15:00,1.76,1.76,1.76,1.76,36200.23
2026-07-05 07:20:00,1.76,1.77,1.76,1.77,47418.82
2026-07-05 07:25:00,1.77,1.77,1.76,1.76,73675.71
2026-07-05 07:30:00,1.76,1.76,1.76,1.76,113266.74
2026-07-05 07:35:00,1.76,1.76,1.76,1.76,7507.35
2026-07-05 07:40:00,1.76,1.77,1.76,1.76,46.66
2026-07-05 07:45:00,1.76,1.77,1.76,1.77,12709.25
2026-07-05 07:50:00,1.77,1.77,1.77,1.77,25103.27
2026-07-05 07:55:00,1.77,1.77,1.77,1.77,54899.15
2026-07-05 08:00:00,1.77,1.77,1.76,1.77,39457.53
2026-07-05 08:05:00,1.77,1.77,1.77,1.77,110518.64
2026-07-05 08:10:00,1.77,1.77,1.77,1.77,10251.82
2026-07-05 08:15:00,1.77,1.77,1.76,1.77,483.81
2026-07-05 08:20:00,1.77,1.77,1.77,1.77,102774.25
2026-07-05 08:25:00,1.77,1.77,1.76,1.77,195723.24
2026-07-05 08:30:00,1.77,1.77,1.76,1.77,40107.71
2026-07-05 08:35:00,1.77,1.77,1.76,1.76,49784.73
2026-07-05 08:40:00,1.76,1.76,1.76,1.76,55420.35
2026-07-05 08:45:00,1.76,1.76,1.76,1.76,99266.52
2026-07-05 08:50:00,1.76,1.76,1.76,1.76,93683.25
2026-07-05 08:55:00,1.76,1.76,1.76,1.76,2484.36
2026-07-05 09:00:00,1.76,1.76,1.76,1.76,28391.26
2026-07-05 09:05:00,1.76,1.77,1.76,1.76,37611.15
2026-07-05 09:10:00,1.76,1.76,1.76,1.76,4045.23
2026-07-05 09:15:00,1.76,1.76,1.76,1.76,2909.48
2026-07-05 09:20:00,1.76,1.76,1.76,1.76,92003.76
2026-07-05 09:25:00,1.76,1.76,1.76,1.76,25011.32
2026-07-05 09:30:00,1.76,1.76,1.76,1.76,117099.13
2026-07-05 09:35:00,1.76,1.76,1.76,1.76,83762.42
2026-07-05 09:40:00,1.76,1.76,1.76,1.76,16725.53
2026-07-05 09:45:00,1.76,1.76,1.76,1.76,9344.66
2026-07-05 09:50:00,1.76,1.76,1.76,1.76,26142.67
2026-07-05 09:55:00,1.76,1.76,1.75,1.75,19233.18
2026-07-05 10:00:00,1.75,1.76,1.75,1.76,20087.87
2026-07-05 10:05:00,1.76,1.76,1.75,1.76,19934.06
2026-07-05 10:10:00,1.76,1.76,1.75,1.76,157690.94
2026-07-05 10:15:00,1.76,1.76,1.75,1.76,10641.89
2026-07-05 10:20:00,1.76,1.76,1.76,1.76,30941.89
2026-07-05 10:25:00,1.76,1.76,1.76,1.76,61517.36
2026-07-05 10:30:00,1.76,1.76,1.76,1.76,29984.37
2026-07-05 10:35:00,1.76,1.76,1.76,1.76,4054.84
