datetime,open,high,low,close,volume
2026-09-02 12:05:00,0.3549,0.3565,0.3549,0.3556,28072.87
2026-09-02 12:10:00,0.3555,0.3564,0.3552,0.3554,44151.3
2026-09-02 12:15:00,0.3553,0.3558,0.3542,0.3548,18110.13
2026-09-02 12:20:00,0.3547,0.3563,0.3541,0.356,12748.14
2026-09-02 12:25:00,0.3558,0.3562,0.3555,0.3557,9543.0
2026-09-02 12:30:00,0.3556,0.356,0.3553,0.3558,5858.33
2026-09-02 12:35:00,0.3557,0.3557,0.3548,0.3549,5189.71
2026-09-02 12:40:00,0.3547,0.3547,0.3531,0.3539,24069.11
2026-09-02 12:45:00,0.3537,0.3538,0.3524,0.3524,6830.88
2026-09-02 12:50:00,0.3523,0.3523,0.3507,0.3507,19740.72
2026-09-02 12:55:00,0.3508,0.3508,0.3501,0.3502,10990.79
2026-09-02 13:00:00,0.3502,0.3519,0.3502,0.3516,28014.43
2026-09-02 13:05:00,0.3516,0.352,0.3512,0.3515,9469.84
2026-09-02 13:10:00,0.3514,0.3514,0.3504,0.3504,4801.92
2026-09-02 13:15:00,0.3503,0.3511,0.3502,0.351,5636.56
2026-09-02 13:20:00,0.3509,0.3509,0.3499,0.3501,11046.58
2026-09-02 13:25:00,0.3501,0.3508,0.3485,0.3487,109139.1
2026-09-02 13:30:00,0.3487,0.3492,0.3475,0.3484,168641.15
2026-09-02 13:35:00,0.3485,0.3485,0.3463,0.3476,40781.48
2026-09-02 13:40:00,0.3477,0.3528,0.3477,0.3528,40215.28
2026-09-02 13:45:00,0.3528,0.353,0.3508,0.3508,49322.99
2026-09-02 13:50:00,0.3509,0.3518,0.35,0.35,23692.63
2026-09-02 13:55:00,0.3501,0.3512,0.3494,0.351,10661.33
2026-09-02 14:00:00,0.3511,0.3512,0.3497,0.3501,13337.44
2026-09-02 14:05:00,0.3502,0.3506,0.3498,0.3498,21483.9
2026-09-02 14:10:00,0.3499,0.3502,0.3492,0.3494,8806.05
2026-09-02 14:15:00,0.3493,0.3499,0.3489,0.3497,3007.32
2026-09-02 14:20:00,0.3496,0.3509,0.3495,0.3495,9024.78
2026-09-02 14:25:00,0.3495,0.3495,0.3493,0.3494,2424.66
2026-09-02 14:30:00,0.3493,0.3493,0.348,0.3487,36596.56
2026-09-02 14:35:00,0.3486,0.3488,0.348,0.3488,31565.41
2026-09-02 14:40:00,0.3488,0.3496,0.3484,0.3492,16432.42
2026-09-02 14:45:00,0.3493,0.3498,0.3489,0.3491,21159.84
2026-09-02 14:50:00,0.3491,0.3494,0.3489,0.3492,8149.68
2026-09-02 14:55:00,0.3493,0.3497,0.348,0.3481,39006.18
2026-09-02 15:00:00,0.3481,0.349,0.3467,0.3483,46854.09
2026-09-02 15:05:00,0.3484,0.3495,0.3471,0.3471,16047.54
2026-09-02 15:10:00,0.347,0.3472,0.3457,0.3465,30986.34
2026-09-02 15:15:00,0.3466,0.349,0.3464,0.3483,15647.73
2026-09-02 15:20:00,0.3484,0.3484,0.3469,0.3471,5206.68
2026-09-02 15:25:00,0.3472,0.3476,0.3469,0.3473,1919.74
2026-09-02 15:30:00,0.3474,0.3479,0.3463,0.3476,61526.57
2026-09-02 15:35:00,0.3478,0.3495,0.3478,0.3486,60156.79
2026-09-02 15:40:00,0.3485,0.3502,0.3481,0.3497,9846.01
2026-09-02 15:45:00,0.3496,0.3496,0.3483,0.3485,6176.16
2026-09-02 15:50:00,0.3485,0.3496,0.3483,0.3496,21971.0
2026-09-02 15:55:00,0.3496,0.3497,0.3487,0.3494,15034.27
2026-09-02 16:00:00,0.3495,0.3495,0.3482,0.3495,39409.11
2026-09-02 16:05:00,0.3496,0.3514,0.3495,0.3514,17836.05
2026-09-02 16:10:00,0.3515,0.3538,0.3513,0.3535,51694.82
2026-09-02 16:15:00,0.3536,0.3538,0.3513,0.3515,8312.64
2026-09-02 16:20:00,0.3515,0.3526,0.3515,0.3518,15362.24
2026-09-02 16:25:00,0.3516,0.352,0.351,0.351,11257.44
2026-09-02 16:30:00,0.3509,0.3529,0.3509,0.3524,15164.91
2026-09-02 16:35:00,0.3525,0.3531,0.3512,0.3518,17765.35
2026-09-02 16:40:00,0.3516,0.3522,0.3509,0.3512,9913.81
2026-09-02 16:45:00,0.3511,0.3519,0.351,0.3517,10193.36
2026-09-02 16:50:00,0.3518,0.3521,0.3515,0.3515,25720.53
2026-09-02 16:55:00,0.3515,0.3523,0.3513,0.3517,20807.25
2026-09-02 17:00:00,0.3517,0.3523,0.351,0.3512,15222.01
2026-09-02 17:05:00,0.3513,0.3513,0.3489,0.3497,25948.96
2026-09-02 17:10:00,0.3497,0.351,0.3496,0.3509,21056.15
2026-09-02 17:15:00,0.3508,0.3509,0.3481,0.3489,44588.03
2026-09-02 17:20:00,0.3488,0.3496,0.3478,0.3495,9726.19
2026-09-02 17:25:00,0.3494,0.3503,0.3491,0.3503,15997.26
2026-09-02 17:30:00,0.3504,0.353,0.3504,0.3524,35625.02
2026-09-02 17:35:00,0.3523,0.3523,0.3513,0.3519,23609.18
2026-09-02 17:40:00,0.3519,0.3532,0.3517,0.3532,17887.69
2026-09-02 17:45:00,0.3532,0.3574,0.3531,0.3562,88659.11
