datetime,open,high,low,close,volume
2026-07-05 03:35:00,1.75,1.75,1.75,1.75,39928.27
2026-07-05 03:40:00,1.75,1.75,1.75,1.75,55886.57
2026-07-05 03:45:00,1.75,1.75,1.75,1.75,23833.68
2026-07-05 03:50:00,1.75,1.75,1.75,1.75,944.5
2026-07-05 03:55:00,1.75,1.75,1.75,1.75,28211.73
2026-07-05 04:00:00,1.75,1.75,1.75,1.75,85857.34
2026-07-05 04:05:00,1.75,1.75,1.75,1.75,6467.56
2026-07-05 04:10:00,1.75,1.76,1.75,1.75,20521.29
2026-07-05 04:15:00,1.75,1.76,1.75,1.75,25610.49
2026-07-05 04:20:00,1.75,1.75,1.75,1.75,116123.98
2026-07-05 04:25:00,1.75,1.75,1.75,1.75,24765.45
2026-07-05 04:30:00,1.75,1.75,1.75,1.75,44477.53
2026-07-05 04:35:00,1.75,1.76,1.75,1.76,23676.88
2026-07-05 04:40:00,1.76,1.76,1.76,1.76,85244.92
2026-07-05 04:45:00,1.76,1.76,1.76,1.76,35535.54
2026-07-05 04:50:00,1.76,1.77,1.76,1.76,22378.78
2026-07-05 04:55:00,1.76,1.76,1.76,1.76,19380.83
2026-07-05 05:00:00,1.76,1.76,1.76,1.76,39976.1
2026-07-05 05:05:00,1.76,1.76,1.76,1.76,50067.18
2026-07-05 05:10:00,1.76,1.76,1.76,1.76,17636.88
2026-07-05 05:15:00,1.76,1.76,1.76,1.76,9475.64
2026-07-05 05:20:00,1.76,1.76,1.76,1.76,40215.44
2026-07-05 05:25:00,1.76,1.77,1.76,1.77,18055.22
2026-07-05 05:30:00,1.77,1.77,1.76,1.76,6438.6
2026-07-05 05:35:00,1.76,1.76,1.76,1.76,27737.64
2026-07-05 05:40:00,1.76,1.77,1.76,1.77,7035.16
2026-07-05 05:45:00,1.77,1.77,1.76,1.76,10643.95
2026-07-05 05:50:00,1.76,1.77,1.76,1.76,41490.14
2026-07-05 05:55:00,1.76,1.76,1.76,1.76,5221.23
2026-07-05 06:00:00,1.76,1.76,1.76,1.76,49896.0
2026-07-05 06:05:00,1.76,1.76,1.76,1.76,66252.58
2026-07-05 06:10:00,1.76,1.76,1.76,1.76,64007.32
2026-07-05 06:15:00,1.76,1.76,1.76,1.76,35021.3
2026-07-05 06:20:00,1.76,1.76,1.76,1.76,90922.13
2026-07-05 06:25:00,1.76,1.76,1.76,1.76,99952.32
2026-07-05 06:30:00,1.76,1.76,1.76,1.76,60575.34
2026-07-05 06:35:00,1.76,1.76,1.75,1.75,75832.37
2026-07-05 06:40:00,1.75,1.76,1.75,1.75,115822.37
2026-07-05 06:45:00,1.75,1.75,1.75,1.75,19670.75
2026-07-05 06:50:00,1.75,1.75,1.75,1.75,24197.41
2026-07-05 06:55:00,1.75,1.76,1.75,1.75,79390.01
2026-07-05 07:00:00,1.75,1.76,1.75,1.75,37916.89
2026-07-05 07:05:00,1.75,1.75,1.75,1.75,54385.6
2026-07-05 07:10:00,1.75,1.76,1.75,1.76,36740.61
2026-07-05 07:15:00,1.76,1.76,1.75,1.75,41711.1
2026-07-05 07:20:00,1.75,1.75,1.75,1.75,26416.99
2026-07-05 07:25:00,1.75,1.75,1.75,1.75,5433.23
2026-07-05 07:30:00,1.75,1.75,1.75,1.75,41067.66
2026-07-05 07:35:00,1.75,1.76,1.75,1.76,172333.08
2026-07-05 07:40:00,1.76,1.76,1.75,1.76,67925.87
2026-07-05 07:45:00,1.76,1.76,1.76,1.76,1626.64
2026-07-05 07:50:00,1.76,1.76,1.76,1.76,13649.85
2026-07-05 07:55:00,1.76,1.76,1.76,1.76,81951.46
2026-07-05 08:00:00,1.76,1.76,1.76,1.76,29655.8
2026-07-05 08:05:00,1.76,1.77,1.76,1.76,10204.07
2026-07-05 08:10:00,1.76,1.77,1.76,1.77,87301.66
2026-07-05 08:15:00,1.77,1.77,1.77,1.77,161702.54
2026-07-05 08:20:00,1.77,1.77,1.77,1.77,60207.7
2026-07-05 08:25:00,1.77,1.77,1.77,1.77,59663.03
2026-07-05 08:30:00,1.77,1.77,1.77,1.77,71734.09
2026-07-05 08:35:00,1.77,1.78,1.77,1.77,44371.16
2026-07-05 08:40:00,1.77,1.78,1.77,1.77,401889.81
2026-07-05 08:45:00,1.77,1.77,1.77,1.77,935.88
2026-07-05 08:50:00,1.77,1.77,1.77,1.77,11862.49
2026-07-05 08:55:00,1.77,1.77,1.77,1.77,36671.68
2026-07-05 09:00:00,1.77,1.77,1.76,1.77,116639.93
2026-07-05 09:05:00,1.77,1.77,1.76,1.77,6773.21
2026-07-05 09:10:00,1.77,1.77,1.76,1.77,108805.12
2026-07-05 09:15:00,1.77,1.77,1.76,1.77,13972.12
2026-07-05 09:20:00,1.77,1.77,1.77,1.77,30024.25
2026-07-05 09:25:00,1.77,1.77,1.77,1.77,9420.4
2026-07-05 09:30:00,1.77,1.77,1.76,1.76,324411.24
2026-07-05 09:35:00,1.76,1.76,1.76,1.76,20141.59
2026-07-05 09:40:00,1.76,1.77,1.76,1.77,52718.68
2026-07-05 09:45:00,1.77,1.77,1.77,1.77,66803.65
2026-07-05 09:50:00,1.77,1.77,1.77,1.77,45486.83
2026-07-05 09:55:00,1.77,1.78,1.76,1.76,30082.73
2026-07-05 10:00:00,1.76,1.77,1.76,1.77,28130.8
2026-07-05 10:05:00,1.77,1.77,1.76,1.77,2226.7
2026-07-05 10:10:00,1.77,1.77,1.77,1.77,32482.35
2026-07-05 10:15:00,1.77,1.77,1.77,1.77,92083.94
2026-07-05 10:20:00,1.77,1.78,1.77,1.77,32871.91
2026-07-05 10:25:00,1.77,1.77,1.77,1.77,83983.15
2026-07-05 10:30:00,1.77,1.77,1.77,1.77,695.31
2026-07-05 10:35:00,1.77,1.77,1.77,1.77,40453.33
2026-07-05 10:40:00,1.77,1.77,1.77,1.77,19770.58
2026-07-05 10:45:00,1.77,1.77,1.76,1.77,314674.14
2026-07-05 10:50:00,1.77,1.77,1.77,1.77,49934.28
2026-07-05 10:55:00,1.77,1.77,1.77,1.77,30470.6
2026-07-05 11:00:00,1.77,1.77,1.77,1.77,10229.64
2026-07-05 11:05:00,1.77,1.77,1.77,1.77,85578.17
2026-07-05 11:10:00,1.77,1.78,1.76,1.77,372051.95
2026-07-05 11:15:00,1.77,1.77,1.76,1.77,90806.71
2026-07-05 11:20:00,1.77,1.77,1.76,1.76,70632.37
2026-07-05 11:25:00,1.76,1.76,1.76,1.76,28932.3
2026-07-05 11:30:00,1.76,1.76,1.76,1.76,13300.75
2026-07-05 11:35:00,1.76,1.77,1.76,1.76,2479.53
2026-07-05 11:40:00,1.76,1.77,1.76,1.76,6875.82
2026-07-05 11:45:00,1.76,1.77,1.76,1.76,9399.54
2026-07-05 11:50:00,1.76,1.77,1.76,1.77,231885.65
2026-07-05 11:55:00,1.77,1.77,1.76,1.77,180477.72
2026-07-05 12:00:00,1.77,1.77,1.77,1.77,61125.45
2026-07-05 12:05:00,1.77,1.78,1.76,1.77,48600.79
2026-07-05 12:10:00,1.77,1.77,1.76,1.76,32487.22
2026-07-05 12:15:00,1.76,1.76,1.76,1.76,89582.79
2026-07-05 12:20:00,1.76,1.76,1.76,1.76,142248.6
2026-07-05 12:25:00,1.76,1.77,1.76,1.76,79880.42
2026-07-05 12:30:00,1.76,1.76,1.75,1.76,2437.9
2026-07-05 12:35:00,1.76,1.76,1.75,1.76,13824.58
2026-07-05 12:40:00,1.76,1.76,1.75,1.76,185157.16
2026-07-05 12:45:00,1.76,1.76,1.75,1.75,60200.68
2026-07-05 12:50:00,1.75,1.76,1.75,1.76,32507.59
2026-07-05 12:55:00,1.76,1.76,1.75,1.76,116740.94
2026-07-05 13:00:00,1.76,1.76,1.75,1.76,357062.32
2026-07-05 13:05:00,1.76,1.76,1.76,1.76,84016.91
2026-07-05 13:10:00,1.76,1.76,1.76,1.76,100590.94
2026-07-05 13:15:00,1.76,1.77,1.76,1.76,35538.52
2026-07-05 13:20:00,1.76,1.77,1.76,1.76,4431.86
2026-07-05 13:25:00,1.76,1.77,1.76,1.77,57840.86
2026-07-05 13:30:00,1.77,1.77,1.76,1.77,5558.1
2026-07-05 13:35:00,1.77,1.77,1.76,1.76,4316.62
2026-07-05 13:40:00,1.76,1.77,1.76,1.76,79387.09
2026-07-05 13:45:00,1.76,1.76,1.76,1.76,13155.54
2026-07-05 13:50:00,1.76,1.77,1.76,1.77,3399.01
2026-07-05 13:55:00,1.77,1.77,1.76,1.77,7742.86
2026-07-05 14:00:00,1.77,1.77,1.76,1.77,117390.91
2026-07-05 14:05:00,1.77,1.77,1.77,1.77,42814.55
2026-07-05 14:10:00,1.77,1.77,1.77,1.77,40599.18
2026-07-05 14:15:00,1.77,1.78,1.77,1.77,37575.84
2026-07-05 14:20:00,1.77,1.78,1.77,1.77,89021.09
2026-07-05 14:25:00,1.77,1.77,1.77,1.77,128115.77
2026-07-05 14:30:00,1.77,1.77,1.77,1.77,91567.9
2026-07-05 14:35:00,1.77,1.77,1.77,1.77,77534.6
2026-07-05 14:40:00,1.77,1.77,1.77,1.77,15917.29
2026-07-05 14:45:00,1.77,1.78,1.77,1.77,112886.75
2026-07-05 14:50:00,1.77,1.77,1.77,1.77,133609.28
2026-07-05 14:55:00,1.77,1.77,1.76,1.77,38991.0
2026-07-05 15:00:00,1.77,1.77,1.76,1.77,55513.76
2026-07-05 15:05:00,1.77,1.77,1.76,1.77,41200.73
2026-07-05 15:10:00,1.77,1.77,1.76,1.76,370.06
2026-07-05 15:15:00,1.76,1.76,1.76,1.76,57791.87
2026-07-05 15:20:00,1.76,1.77,1.76,1.77,12367.03
2026-07-05 15:25:00,1.77,1.77,1.76,1.76,34049.28
2026-07-05 15:30:00,1.76,1.76,1.76,1.76,19828.94
2026-07-05 15:35:00,1.76,1.76,1.76,1.76,44762.26
2026-07-05 15:40:00,1.76,1.76,1.75,1.75,20155.48
2026-07-05 15:45:00,1.75,1.76,1.75,1.75,127473.12
2026-07-05 15:50:00,1.75,1.75,1.75,1.75,18849.38
2026-07-05 15:55:00,1.75,1.76,1.75,1.76,208837.36
2026-07-05 16:00:00,1.76,1.76,1.75,1.75,160755.26
