datetime,open,high,low,close,volume
2026-09-02 12:05:00,1.3235,1.3252,1.3226,1.3241,407802.2
2026-09-02 12:10:00,1.3241,1.3273,1.3235,1.3272,340561.4
2026-09-02 12:15:00,1.3271,1.3285,1.3242,1.3257,615131.0
2026-09-02 12:20:00,1.3257,1.3319,1.3253,1.3301,857322.2
2026-09-02 12:25:00,1.33,1.3312,1.3298,1.33,405540.5
2026-09-02 12:30:00,1.3299,1.3301,1.3267,1.3271,414297.7
2026-09-02 12:35:00,1.3272,1.3275,1.3236,1.3248,319133.1
2026-09-02 12:40:00,1.3248,1.3251,1.3237,1.3239,164074.8
2026-09-02 12:45:00,1.3239,1.3239,1.3211,1.3211,309955.3
2026-09-02 12:50:00,1.3212,1.3216,1.3195,1.3195,286866.7
2026-09-02 12:55:00,1.3195,1.3197,1.3178,1.3181,425465.4
2026-09-02 13:00:00,1.318,1.3241,1.318,1.3225,365328.5
2026-09-02 13:05:00,1.3226,1.3266,1.3226,1.3237,246557.4
2026-09-02 13:10:00,1.3237,1.3245,1.3219,1.3219,260620.2
2026-09-02 13:15:00,1.322,1.3253,1.3219,1.3246,126933.7
2026-09-02 13:20:00,1.3245,1.3251,1.3224,1.3249,113606.4
2026-09-02 13:25:00,1.3248,1.3279,1.3237,1.3262,243270.7
2026-09-02 13:30:00,1.3262,1.3281,1.3246,1.3277,522726.0
2026-09-02 13:35:00,1.3278,1.3279,1.3252,1.3279,275328.6
2026-09-02 13:40:00,1.328,1.3458,1.327,1.3455,1775117.2
2026-09-02 13:45:00,1.3455,1.3459,1.3367,1.3375,1468177.0
2026-09-02 13:50:00,1.3374,1.3418,1.337,1.3382,459208.9
2026-09-02 13:55:00,1.3382,1.3415,1.3357,1.3415,499290.7
2026-09-02 14:00:00,1.3416,1.3418,1.3358,1.3388,801623.4
2026-09-02 14:05:00,1.3388,1.3461,1.3379,1.3411,961820.7
2026-09-02 14:10:00,1.3411,1.3447,1.3397,1.3434,530194.4
2026-09-02 14:15:00,1.3433,1.3449,1.3407,1.3428,248594.2
2026-09-02 14:20:00,1.3427,1.3465,1.3407,1.3412,781163.5
2026-09-02 14:25:00,1.3411,1.3435,1.3399,1.3431,211488.1
2026-09-02 14:30:00,1.343,1.343,1.3365,1.3376,566429.9
2026-09-02 14:35:00,1.3375,1.3385,1.3361,1.3384,227873.6
2026-09-02 14:40:00,1.3385,1.3417,1.3376,1.3408,275438.2
2026-09-02 14:45:00,1.3409,1.3416,1.3375,1.3382,272212.6
2026-09-02 14:50:00,1.3383,1.3393,1.3346,1.3352,379911.9
2026-09-02 14:55:00,1.3353,1.3376,1.3319,1.3323,416620.0
2026-09-02 15:00:00,1.3324,1.3358,1.3277,1.333,898794.5
2026-09-02 15:05:00,1.333,1.3349,1.3282,1.3294,391600.8
2026-09-02 15:10:00,1.3293,1.3293,1.3256,1.3281,495061.6
2026-09-02 15:15:00,1.3282,1.3361,1.3282,1.3351,406712.7
2026-09-02 15:20:00,1.335,1.3357,1.3289,1.3297,478510.3
2026-09-02 15:25:00,1.3296,1.3334,1.3282,1.3312,395081.4
2026-09-02 15:30:00,1.3313,1.339,1.3301,1.3384,346144.8
2026-09-02 15:35:00,1.3383,1.3402,1.3347,1.335,535520.2
2026-09-02 15:40:00,1.335,1.34,1.3341,1.3395,297421.3
2026-09-02 15:45:00,1.3395,1.3395,1.3338,1.3343,349322.8
2026-09-02 15:50:00,1.3343,1.3358,1.3317,1.3352,175543.6
2026-09-02 15:55:00,1.3351,1.3372,1.3345,1.3368,118606.7
2026-09-02 16:00:00,1.3369,1.3374,1.334,1.3373,391619.2
2026-09-02 16:05:00,1.3374,1.3415,1.3353,1.3385,597159.7
2026-09-02 16:10:00,1.3386,1.3407,1.3378,1.3391,685193.8
2026-09-02 16:15:00,1.3392,1.3409,1.337,1.3406,337056.4
2026-09-02 16:20:00,1.3406,1.3427,1.3401,1.3417,451045.0
2026-09-02 16:25:00,1.3417,1.3425,1.3389,1.3401,358635.3
2026-09-02 16:30:00,1.3401,1.342,1.3384,1.3384,384375.0
2026-09-02 16:35:00,1.3384,1.3384,1.3356,1.3364,364141.0
2026-09-02 16:40:00,1.3365,1.3365,1.3327,1.3327,277026.2
2026-09-02 16:45:00,1.3327,1.3357,1.3326,1.335,112956.3
2026-09-02 16:50:00,1.3351,1.3357,1.3339,1.335,184347.9
2026-09-02 16:55:00,1.335,1.3357,1.3317,1.3323,291743.7
2026-09-02 17:00:00,1.3323,1.3348,1.3311,1.3321,587781.7
2026-09-02 17:05:00,1.3322,1.3328,1.328,1.33,331828.9
2026-09-02 17:10:00,1.33,1.3332,1.3297,1.3318,356613.9
2026-09-02 17:15:00,1.3318,1.3328,1.327,1.3287,306542.7
2026-09-02 17:20:00,1.3288,1.3306,1.3271,1.3293,220863.1
2026-09-02 17:25:00,1.3293,1.3301,1.3283,1.3301,138747.1
2026-09-02 17:30:00,1.3302,1.3338,1.3294,1.3333,203440.1
2026-09-02 17:35:00,1.3332,1.3332,1.331,1.3315,135426.7
2026-09-02 17:40:00,1.3316,1.3355,1.3309,1.3354,186169.5
2026-09-02 17:45:00,1.3354,1.3383,1.3354,1.3376,108184.2
2026-09-02 17:50:00,1.3376,1.3385,1.3367,1.3369,74144.4
2026-09-02 17:55:00,1.337,1.3384,1.3365,1.3384,82402.7
2026-09-02 18:00:00,1.3384,1.3395,1.3372,1.3382,351092.8
2026-09-02 18:05:00,1.3382,1.3402,1.3374,1.34,404711.1
2026-09-02 18:10:00,1.3399,1.3418,1.3387,1.3418,321850.6
2026-09-02 18:15:00,1.3417,1.3444,1.3397,1.341,583097.3
2026-09-02 18:20:00,1.341,1.3428,1.34,1.3419,429584.0
2026-09-02 18:25:00,1.3419,1.3441,1.3414,1.3417,582462.6
2026-09-02 18:30:00,1.3417,1.3423,1.3397,1.3398,238937.0
2026-09-02 18:35:00,1.3397,1.3408,1.3379,1.3379,215973.5
2026-09-02 18:40:00,1.3378,1.3402,1.3373,1.3391,293435.5
2026-09-02 18:45:00,1.3391,1.3422,1.3387,1.3419,122445.1
2026-09-02 18:50:00,1.3418,1.3422,1.3408,1.3422,128195.8
2026-09-02 18:55:00,1.3422,1.3429,1.3413,1.3423,320948.0
2026-09-02 19:00:00,1.3422,1.3423,1.3401,1.3409,124554.1
2026-09-02 19:05:00,1.3408,1.3439,1.3407,1.3439,117401.2
2026-09-02 19:10:00,1.3439,1.3462,1.3426,1.3461,424586.3
2026-09-02 19:15:00,1.3462,1.3487,1.3444,1.3464,473743.1
2026-09-02 19:20:00,1.3465,1.3485,1.3445,1.3458,313811.9
2026-09-02 19:25:00,1.3457,1.3462,1.342,1.3421,261929.1
2026-09-02 19:30:00,1.342,1.3442,1.3411,1.3435,434542.0
2026-09-02 19:35:00,1.3435,1.3445,1.3423,1.3445,177570.6
2026-09-02 19:40:00,1.3444,1.3465,1.3439,1.3455,209429.4
2026-09-02 19:45:00,1.3454,1.346,1.343,1.3437,118467.7
2026-09-02 19:50:00,1.3437,1.3477,1.3436,1.3443,177238.2
2026-09-02 19:55:00,1.3443,1.3472,1.3432,1.3441,472730.9
2026-09-02 20:00:00,1.3442,1.3505,1.3435,1.3484,904812.0
2026-09-02 20:05:00,1.3483,1.3519,1.3466,1.347,585966.6
2026-09-02 20:10:00,1.347,1.3497,1.3462,1.3497,439255.4
2026-09-02 20:15:00,1.3496,1.3496,1.3443,1.3482,1723260.3
2026-09-02 20:20:00,1.3483,1.3558,1.3482,1.3539,1079387.8
2026-09-02 20:25:00,1.3539,1.354,1.3485,1.3486,372218.5
2026-09-02 20:30:00,1.3486,1.3518,1.3478,1.3495,826454.7
2026-09-02 20:35:00,1.3495,1.3531,1.3492,1.3502,446406.3
2026-09-02 20:40:00,1.3502,1.3502,1.3467,1.3477,294976.4
2026-09-02 20:45:00,1.3476,1.3519,1.3471,1.3503,574555.7
2026-09-02 20:50:00,1.3503,1.3548,1.3503,1.3515,537849.5
2026-09-02 20:55:00,1.3514,1.3533,1.3504,1.3516,243064.7
2026-09-02 21:00:00,1.3515,1.3516,1.3492,1.3493,107926.0
2026-09-02 21:05:00,1.3493,1.3517,1.349,1.35,192199.5
2026-09-02 21:10:00,1.3501,1.3513,1.3486,1.3489,84923.9
2026-09-02 21:15:00,1.3488,1.3499,1.3465,1.3472,132845.0
2026-09-02 21:20:00,1.3472,1.3492,1.3468,1.3491,120466.2
2026-09-02 21:25:00,1.3492,1.3497,1.3468,1.347,317501.2
2026-09-02 21:30:00,1.347,1.3481,1.3461,1.3466,160370.6
2026-09-02 21:35:00,1.3466,1.351,1.3466,1.3506,122188.0
2026-09-02 21:40:00,1.3505,1.3531,1.3496,1.3528,439149.3
2026-09-02 21:45:00,1.3528,1.3529,1.349,1.349,116740.0
2026-09-02 21:50:00,1.349,1.3505,1.3482,1.3502,80067.2
2026-09-02 21:55:00,1.3502,1.3511,1.3473,1.3481,104258.2
2026-09-02 22:00:00,1.3482,1.3487,1.3464,1.3464,125665.1
2026-09-02 22:05:00,1.3463,1.3463,1.3437,1.344,141222.1
2026-09-02 22:10:00,1.3439,1.3456,1.3429,1.3446,148378.7
2026-09-02 22:15:00,1.3446,1.3458,1.3435,1.3444,222084.9
2026-09-02 22:20:00,1.3444,1.3444,1.3427,1.3433,59369.2
2026-09-02 22:25:00,1.3433,1.3436,1.342,1.3424,156360.2
2026-09-02 22:30:00,1.3424,1.3439,1.342,1.3439,227854.8
2026-09-02 22:35:00,1.344,1.346,1.3439,1.3456,78403.0
2026-09-02 22:40:00,1.3455,1.3472,1.3455,1.3471,96889.6
2026-09-02 22:45:00,1.3471,1.3473,1.3453,1.3469,233113.1
2026-09-02 22:50:00,1.347,1.348,1.3461,1.3465,264899.3
2026-09-02 22:55:00,1.3465,1.3466,1.3445,1.3446,162916.0
2026-09-02 23:00:00,1.3445,1.3474,1.3425,1.3474,451572.5
2026-09-02 23:05:00,1.3475,1.3504,1.3474,1.3501,150616.7
2026-09-02 23:10:00,1.3501,1.3506,1.3495,1.3502,552162.3
2026-09-02 23:15:00,1.3503,1.3504,1.3456,1.3463,425712.8
2026-09-02 23:20:00,1.3463,1.3475,1.3454,1.3465,107825.2
2026-09-02 23:25:00,1.3464,1.3473,1.346,1.3469,57029.6
2026-09-02 23:30:00,1.3469,1.349,1.3457,1.3465,79251.1
2026-09-02 23:35:00,1.3465,1.3476,1.3465,1.3474,75904.9
2026-09-02 23:40:00,1.3475,1.3481,1.347,1.3474,82416.3
2026-09-02 23:45:00,1.3475,1.3499,1.3475,1.3498,82584.0
2026-09-02 23:50:00,1.3499,1.3509,1.3494,1.3496,132736.8
2026-09-02 23:55:00,1.3495,1.3521,1.3494,1.3511,210156.8
2026-09-03 00:00:00,1.3512,1.3548,1.3498,1.3531,670217.4
2026-09-03 00:05:00,1.3531,1.3534,1.3488,1.3492,235369.0
2026-09-03 00:10:00,1.3492,1.3517,1.3482,1.35,345069.7
2026-09-03 00:15:00,1.35,1.3507,1.3487,1.35,229962.7
2026-09-03 00:20:00,1.35,1.3503,1.3455,1.3459,694714.8
2026-09-03 00:25:00,1.3459,1.3463,1.3442,1.3453,499188.3
2026-09-03 00:30:00,1.3453,1.3466,1.3437,1.3446,538382.1
2026-09-03 00:35:00,1.3446,1.3469,1.3436,1.3462,367956.2
2026-09-03 00:40:00,1.3463,1.3472,1.3447,1.3454,352213.0
2026-09-03 00:45:00,1.3453,1.3474,1.3445,1.3451,267775.5
2026-09-03 00:50:00,1.3452,1.3464,1.3445,1.3456,321140.1
2026-09-03 00:55:00,1.3455,1.3482,1.3442,1.3442,669844.9
2026-09-03 01:00:00,1.3441,1.3451,1.3401,1.3447,627096.7
2026-09-03 01:05:00,1.3448,1.3541,1.3448,1.353,553519.4
2026-09-03 01:10:00,1.3531,1.3587,1.3513,1.3583,850076.9
2026-09-03 01:15:00,1.3583,1.3607,1.355,1.3558,812094.5
2026-09-03 01:20:00,1.3557,1.3607,1.3552,1.3598,670944.2
2026-09-03 01:25:00,1.3598,1.3644,1.359,1.3643,446210.0
2026-09-03 01:30:00,1.3643,1.3663,1.3608,1.3634,1108951.0
2026-09-03 01:35:00,1.3634,1.3639,1.3575,1.361,818986.4
2026-09-03 01:40:00,1.361,1.3654,1.3588,1.3591,811261.5
2026-09-03 01:45:00,1.359,1.3593,1.3563,1.3568,498295.1
2026-09-03 01:50:00,1.3568,1.363,1.356,1.3599,742451.1
2026-09-03 01:55:00,1.3599,1.3608,1.3559,1.356,365518.4
2026-09-03 02:00:00,1.3559,1.3584,1.3542,1.3544,307745.1
2026-09-03 02:05:00,1.3543,1.357,1.3535,1.3549,367662.0
2026-09-03 02:10:00,1.3549,1.3594,1.3549,1.359,361589.3
2026-09-03 02:15:00,1.359,1.3599,1.3553,1.3584,411222.6
2026-09-03 02:20:00,1.3584,1.3636,1.358,1.3625,695195.1
2026-09-03 02:25:00,1.3625,1.3644,1.3614,1.3635,327856.1
2026-09-03 02:30:00,1.3634,1.373,1.3618,1.3723,1212872.0
2026-09-03 02:35:00,1.3723,1.3729,1.3647,1.3663,1158663.8
2026-09-03 02:40:00,1.3663,1.3698,1.3661,1.3693,540211.1
2026-09-03 02:45:00,1.3692,1.372,1.3677,1.3712,741717.1
2026-09-03 02:50:00,1.3712,1.3725,1.3696,1.3712,485377.8
2026-09-03 02:55:00,1.3712,1.3727,1.3686,1.3696,402027.3
2026-09-03 03:00:00,1.3696,1.3699,1.367,1.3678,246358.6
2026-09-03 03:05:00,1.3677,1.3699,1.3669,1.3695,164967.8
2026-09-03 03:10:00,1.3696,1.3745,1.3687,1.3718,1448914.0
2026-09-03 03:15:00,1.3717,1.3717,1.3668,1.3706,774121.6
2026-09-03 03:20:00,1.3706,1.3706,1.3653,1.3655,711147.3
2026-09-03 03:25:00,1.3655,1.3681,1.3651,1.3657,471468.7
2026-09-03 03:30:00,1.3658,1.3687,1.365,1.368,479132.2
2026-09-03 03:35:00,1.3679,1.3679,1.366,1.3663,219499.9
2026-09-03 03:40:00,1.3663,1.3666,1.364,1.3647,277420.0
2026-09-03 03:45:00,1.3648,1.3658,1.3636,1.3652,175036.5
2026-09-03 03:50:00,1.3651,1.3673,1.3649,1.3673,148542.4
2026-09-03 03:55:00,1.3672,1.3673,1.3659,1.3668,178964.9
2026-09-03 04:00:00,1.3669,1.3697,1.3669,1.3681,326784.2
2026-09-03 04:05:00,1.3682,1.3695,1.3673,1.3673,136905.6
2026-09-03 04:10:00,1.3673,1.37,1.3661,1.3667,864798.6
2026-09-03 04:15:00,1.3668,1.3668,1.3614,1.3621,600972.9
2026-09-03 04:20:00,1.362,1.365,1.3614,1.3633,466749.0
2026-09-03 04:25:00,1.3632,1.3632,1.3616,1.3621,192333.4
2026-09-03 04:30:00,1.3621,1.3642,1.3619,1.3629,207978.4
2026-09-03 04:35:00,1.3629,1.3639,1.3619,1.3634,183271.1
2026-09-03 04:40:00,1.3633,1.3636,1.3618,1.3619,152656.2
2026-09-03 04:45:00,1.3619,1.3638,1.3619,1.3632,158774.1
2026-09-03 04:50:00,1.3632,1.3693,1.3624,1.3689,512982.6
2026-09-03 04:55:00,1.3689,1.3697,1.3664,1.3696,269117.5
2026-09-03 05:00:00,1.3695,1.3708,1.3678,1.368,324874.0
2026-09-03 05:05:00,1.368,1.3683,1.365,1.3652,562954.0
2026-09-03 05:10:00,1.3652,1.3664,1.3626,1.3649,534685.3
2026-09-03 05:15:00,1.365,1.3653,1.3616,1.3626,736668.6
2026-09-03 05:20:00,1.3626,1.3626,1.3529,1.3563,1256126.3
2026-09-03 05:25:00,1.3563,1.3563,1.3515,1.3542,277758.5
2026-09-03 05:30:00,1.3542,1.3591,1.3536,1.3589,295654.9
2026-09-03 05:35:00,1.359,1.3631,1.359,1.3621,230748.7
2026-09-03 05:40:00,1.3622,1.3646,1.3607,1.3642,234651.4
2026-09-03 05:45:00,1.3642,1.3659,1.3611,1.365,580864.8
2026-09-03 05:50:00,1.365,1.3681,1.3637,1.3676,716028.0
2026-09-03 05:55:00,1.3677,1.3703,1.3677,1.369,707296.6
